sumlev,county_id_2010,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
050,01001,Autauga,AL,54571,42855,9643,232,474,32,466,869,1310,53261,42154,9595,217,467,22,45,761
050,01003,Baldwin,AL,182265,156153,17105,1216,1348,89,3631,2723,7992,174273,152200,16966,1146,1340,79,245,2297
050,01005,Barbour,AL,27457,13180,12875,114,107,29,894,258,1387,26070,12837,12820,60,107,24,13,209
050,01007,Bibb,AL,22915,17381,5047,64,22,13,185,203,406,22509,17191,5024,64,22,7,20,181
050,01009,Blount,AL,57322,53068,761,307,117,38,2347,684,4626,52696,50952,724,285,115,18,35,567
050,01011,Bullock,AL,10914,2507,7666,23,20,43,569,86,777,10137,2392,7637,20,20,4,5,59
050,01013,Butler,AL,20947,11399,9095,60,177,7,48,161,191,20756,11324,9047,59,174,7,3,142
050,01015,Calhoun,AL,118572,88840,24382,540,845,96,1894,1975,3893,114679,87285,24177,480,830,94,109,1704
050,01017,Chambers,AL,34215,20112,13257,69,168,10,214,385,536,33679,19893,13206,57,166,7,23,327
050,01019,Cherokee,AL,25989,24081,1208,135,54,1,123,387,320,25669,23929,1206,122,49,1,15,347
050,01021,Chilton,AL,43643,36713,4230,155,130,55,1854,506,3420,40223,35395,4171,134,125,11,34,353
050,01023,Choctaw,AL,13859,7731,6012,18,12,0,28,58,73,13786,7700,5990,18,12,0,10,56
050,01025,Clarke,AL,25833,14070,11336,103,77,4,67,176,271,25562,13943,11280,96,74,4,9,156
050,01027,Clay,AL,13932,11380,2066,55,24,0,172,235,399,13533,11186,2048,55,23,0,5,216
050,01029,Cleburne,AL,14972,14079,498,51,23,10,151,160,307,14665,13956,494,50,23,1,4,137
050,01031,Coffee,AL,49948,37330,8359,645,644,100,1623,1247,3180,46768,36134,8257,602,629,51,52,1043
050,01033,Colbert,AL,54428,43789,8768,267,229,20,510,845,1093,53335,43334,8702,262,224,14,35,764
050,01035,Conecuh,AL,13228,6788,6149,44,17,1,97,132,161,13067,6764,6122,44,17,0,6,114
050,01037,Coosa,AL,11539,7648,3582,40,16,15,135,103,230,11309,7604,3556,40,14,0,7,88
050,01039,Covington,AL,37765,32022,4716,214,155,1,135,522,483,37282,31751,4685,196,148,1,13,488
050,01041,Crenshaw,AL,13906,10097,3254,57,189,8,99,202,204,13702,10020,3241,56,189,1,2,193
050,01043,Cullman,AL,80406,76133,856,408,343,18,1759,889,3454,76952,74568,821,397,339,18,41,768
050,01045,Dale,AL,50251,37236,9679,371,534,44,882,1505,2821,47430,35705,9546,337,527,42,66,1207
050,01047,Dallas,AL,43820,12769,30423,85,149,11,84,299,309,43511,12676,30314,78,144,6,15,278
050,01049,De Kalb,AL,71109,60087,1078,969,203,147,7051,1574,9690,61419,57997,1029,865,166,35,41,1286
050,01051,Elmore,AL,79303,60455,15900,285,518,63,938,1144,2129,77174,59449,15814,269,514,50,74,1004
050,01053,Escambia,AL,38319,23784,12220,1288,92,12,343,580,718,37601,23508,12162,1274,86,12,20,539
050,01055,Etowah,AL,104430,83823,15796,448,672,171,1975,1545,3447,100983,82789,15716,372,657,30,87,1332
050,01057,Fayette,AL,17241,14910,1969,52,37,0,102,171,204,17037,14832,1958,47,37,0,11,152
