place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
0100100,Abanda,AL,192,129,58,0,0,0,2,3,3,189,129,58,0,0,0,0,2
0100124,Abbeville,AL,2688,1463,1113,2,26,0,53,31,82,2606,1443,1110,2,21,0,0,30
0100460,Adamsville,AL,4522,2366,2030,23,14,1,50,38,102,4420,2324,2025,22,12,0,3,34
0100484,Addison,AL,758,751,1,0,1,0,0,5,3,755,751,1,0,1,0,0,2
0100676,Akron,AL,356,47,308,0,0,0,0,1,1,355,46,308,0,0,0,0,1
0100820,Alabaster,AL,30352,24103,4105,124,271,10,1269,470,2723,27629,22782,4082,88,269,8,66,334
0100988,Albertville,AL,21160,16062,405,170,97,30,3954,442,5899,15261,14419,354,105,97,23,29,234
0101132,Alexander City,AL,14875,9246,4757,35,139,2,561,135,708,14167,9131,4746,35,139,2,4,110
0101180,Alexandria,AL,3917,3425,400,12,18,10,19,33,35,3882,3411,400,8,18,10,5,30
0101228,Aliceville,AL,2486,563,1861,2,1,0,19,40,31,2455,563,1848,2,1,0,1,40
0101396,Allgood,AL,622,495,4,2,4,0,111,6,307,315,304,1,2,4,0,0,4
0101660,Altoona,AL,933,894,16,2,2,0,2,17,10,923,886,16,2,2,0,2,15
0101708,Andalusia,AL,9015,6356,2337,37,91,0,39,155,167,8848,6262,2315,34,87,0,7,143
0101756,Anderson,AL,282,276,0,1,0,0,0,5,2,280,274,0,1,0,0,0,5
0101852,Anniston,AL,23106,10327,11903,69,184,13,221,389,613,22493,10065,11830,64,183,11,24,316
0102116,Arab,AL,8050,7775,8,50,59,6,60,92,136,7914,7714,6,45,59,6,1,83
0102260,Ardmore,AL,1194,1126,23,9,11,1,7,17,16,1178,1119,23,9,11,1,0,15
0102320,Argo,AL,4071,3832,148,16,14,6,4,51,22,4049,3816,148,16,14,6,1,48
0102428,Ariton,AL,764,598,147,0,1,0,7,11,46,718,565,140,0,1,0,1,11
0102500,Arley,AL,357,337,0,2,1,1,1,15,5,352,336,0,2,1,1,0,12
0102836,Ashford,AL,2148,1696,418,4,5,0,9,16,17,2131,1689,418,4,5,0,0,15
0102860,Ashland,AL,2037,1456,491,7,15,0,41,27,117,1920,1398,478,7,15,0,0,22
0102908,Ashville,AL,2212,1677,450,4,6,0,31,44,85,2127,1632,446,4,5,0,1,39
0102956,Athens,AL,21897,15976,3841,139,200,22,1297,422,1932,19965,15498,3805,98,190,6,29,339
0103004,Atmore,AL,10194,4073,5672,184,30,6,83,146,185,10009,4007,5646,182,26,6,6,136
0103028,Attalla,AL,6048,4929,771,24,29,2,173,120,287,5761,4834,767,18,29,1,8,104
0103076,Auburn,AL,53380,40069,8834,149,2825,16,610,877,1551,51829,39255,8772,143,2817,12,89,741
0103220,Autaugaville,AL,870,272,581,2,0,0,3,12,7,863,270,579,2,0,0,1,11
0103364,Avon,AL,543,514,10,10,0,0,0,9,7,536,507,10,10,0,0,0,9
0103508,Axis,AL,757,506,204,24,1,1,1,20,7,750,500,204,24,1,1,0,20
0103556,Babbie,AL,603,583,0,0,9,0,1,10,1,602,583,0,0,9,0,0,10
0103676,Baileyton,AL,610,587,1,3,0,1,5,13,9,601,586,1,2,0,1,0,11
0103724,Bakerhill,AL,279,172,99,2,0,0,2,4,3,276,171,99,2,0,0,0,4
0103820,Ballplay,AL,1580,1541,2,11,4,0,3,19,16,1564,1529,2,11,3,0,0,19
0103940,Banks,AL,179,124,44,4,0,0,2,5,2,177,124,44,4,0,0,0,5
0104660,Bay Minette,AL,8044,4861,2837,77,68,1,67,133,142,7902,4810,2826,77,68,1,6,114
0104684,Bayou La Batre,AL,2558,1543,314,9,583,2,25,82,72,2486,1524,312,4,582,1,0,63
0104852,Bear Creek,AL,1070,1039,1,7,2,0,8,13,19,1051,1033,1,7,2,0,0,8
0104900,Beatrice,AL,301,71,229,1,0,0,0,0,0,301,71,229,1,0,0,0,0
0104948,Beaverton,AL,201,191,10,0,0,0,0,0,2,199,189,10,0,0,0,0,0
0105140,Belgreen,AL,129,124,0,0,0,0,5,0,5,124,124,0,0,0,0,0,0
0105164,Belk,AL,215,206,6,0,1,0,2,0,2,213,206,6,0,1,0,0,0
0105188,Bellamy,AL,543,45,493,0,5,0,0,0,7,536,45,486,0,5,0,0,0
0105212,Belle Fontaine,AL,608,561,10,3,14,0,9,11,22,586,552,10,3,14,0,0,7
0105692,Benton,AL,49,40,9,0,0,0,0,0,0,49,40,9,0,0,0,0,0
0105932,Berry,AL,1148,1042,85,0,0,0,7,14,9,1139,1040,85,0,0,0,0,14
0105980,Bessemer,AL,27456,6669,19546,88,53,0,858,242,1113,26343,6482,19504,77,53,0,20,207
0106460,Billingsley,AL,144,124,16,3,0,0,1,0,1,143,124,16,3,0,0,0,0
0107000,Birmingham,AL,212237,47258,155791,445,2152,86,4306,2199,7704,204533,44819,155258,361,2132,48,150,1765
0107120,Black,AL,207,191,13,0,0,0,0,3,0,207,191,13,0,0,0,0,3
0107456,Blountsville,AL,1684,1470,11,16,6,15,149,17,257,1427,1369,11,16,6,6,5,14
0107588,Blue Ridge,AL,1341,1267,36,10,12,2,2,12,13,1328,1256,36,10,12,2,0,12
0107672,Blue Springs,AL,96,89,6,0,1,0,0,0,3,93,86,6,0,1,0,0,0
0107912,Boaz,AL,9551,8337,169,40,68,30,750,157,1356,8195,7813,152,21,68,30,3,108
0108104,Boligee,AL,328,29,296,0,0,0,0,3,1,327,29,295,0,0,0,0,3
0108248,Bon Air,AL,116,93,8,3,0,0,4,8,3,113,93,8,3,0,0,1,8
0108680,Boykin,AL,275,11,262,0,0,0,2,0,2,273,11,262,0,0,0,0,0
0109016,Brantley,AL,809,454,314,5,4,0,9,23,16,793,450,311,5,4,0,0,23
0109064,Brantleyville,AL,884,726,29,8,4,0,86,31,111,773,711,29,6,4,0,0,23
0109136,Brent,AL,4947,2229,2648,7,0,8,25,30,105,4842,2158,2639,7,0,5,4,29
0109208,Brewton,AL,5408,2927,2304,38,19,4,62,54,117,5291,2881,2300,38,19,4,5,44
0109328,Bridgeport,AL,2418,2031,207,46,4,4,28,98,42,2376,2019,207,45,4,0,5,96
0109400,Brighton,AL,2945,190,2384,28,0,0,317,26,407,2538,137,2376,7,0,0,3,15
0109424,Brilliant,AL,900,885,2,1,1,0,2,9,14,886,875,2,1,1,0,0,7
0109457,Bristow Cove,AL,683,622,0,10,1,0,35,15,45,638,621,0,10,1,0,0,6
0109500,Brook Highland,AL,6746,4966,1092,11,295,0,237,145,529,6217,4728,1088,11,294,0,17,79
0109736,Brookside,AL,1363,1084,252,4,1,0,3,19,9,1354,1077,251,4,1,0,3,18
0109808,Brookwood,AL,1828,1685,96,12,2,0,7,26,36,1792,1659,94,12,2,0,2,23
0109880,Broomtown,AL,182,179,3,0,0,0,0,0,0,182,179,3,0,0,0,0,0
0110240,Brundidge,AL,2076,708,1306,10,12,0,13,27,62,2014,671,1302,10,7,0,0,24
