county_id_2010,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
13001,Appling,GA,18236,13385,3392,68,126,23,1047,195,1704,16532,12854,3360,40,125,11,10,132
13003,Atkinson,GA,8375,5213,1453,47,23,24,1485,130,2039,6336,4776,1428,31,17,14,4,66
13005,Bacon,GA,11096,8725,1704,20,38,10,456,143,791,10305,8431,1696,8,34,10,6,120
13007,Baker,GA,3451,1675,1613,9,25,2,85,42,145,3306,1642,1600,9,24,2,1,28
13009,Baldwin,GA,45720,25121,18965,98,582,19,379,556,919,44801,24704,18866,85,580,18,55,493
13011,Banks,GA,18395,16877,427,57,165,3,606,260,1041,17354,16526,416,36,165,0,9,202
13013,Barrow,GA,69367,54665,7889,186,2382,36,2601,1608,6037,63330,51736,7769,130,2359,28,141,1167
13015,Bartow,GA,100157,82862,10178,393,719,60,3853,2092,7690,92467,79803,10024,288,705,54,102,1491
13017,Ben Hill,GA,17634,10446,6104,56,126,2,665,235,1026,16608,10164,6087,47,120,2,15,173
13019,Berrien,GA,19286,16327,2063,56,82,4,510,244,885,18401,16050,2040,44,82,3,8,174
13021,Bibb,GA,155547,67199,81116,332,2531,120,2014,2235,4389,151158,65494,80744,287,2492,74,215,1852
13023,Bleckley,GA,13063,9151,3564,13,110,3,94,128,301,12762,9000,3533,7,109,3,8,102
13025,Brantley,GA,18411,17380,538,58,38,2,123,272,343,18068,17198,531,56,37,2,10,234
13027,Brooks,GA,16243,9722,5729,49,51,14,477,201,853,15390,9425,5695,48,51,5,17,149
13029,Bryan,GA,30233,24254,4286,98,486,25,326,758,1336,28897,23446,4210,81,473,22,62,603
13031,Bulloch,GA,70217,47215,19409,183,1020,64,1165,1161,2439,67778,46251,19252,142,1013,58,106,956
13033,Burke,GA,23316,11070,11533,49,77,20,260,307,617,22699,10844,11469,47,68,20,11,240
13035,Butts,GA,23655,16546,6469,59,109,3,154,315,597,23058,16200,6431,52,100,3,19,253
13037,Calhoun,GA,6694,2326,4105,10,30,18,141,64,262,6432,2250,4092,9,30,0,2,49
13039,Camden,GA,50513,37557,9799,259,724,76,567,1531,2590,47923,35977,9621,230,706,70,72,1247
13043,Candler,GA,10998,7253,2683,9,57,5,877,114,1227,9771,6949,2669,8,57,1,11,76
13045,Carroll,GA,110527,83579,20089,389,853,32,3121,2464,6800,103727,80531,19862,296,836,19,249,1934
