place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
1300184,Abbeville,GA,2908,1191,1624,3,14,0,27,49,153,2755,1087,1607,2,14,0,6,39
1300408,Acworth,GA,20425,12758,5232,65,706,13,1020,631,2542,17883,11503,5093,43,694,9,91,450
1300436,Adairsville,GA,4648,3765,643,16,36,1,116,71,249,4399,3648,638,13,36,1,6,57
1300576,Adel,GA,5334,2500,2419,9,56,0,274,76,419,4915,2395,2407,9,56,0,0,48
1300660,Adrian,GA,664,406,213,4,2,0,23,16,33,631,404,213,0,2,0,1,11
1300828,Ailey,GA,432,272,148,0,1,0,8,3,16,416,265,147,0,1,0,0,3
1300996,Alamo,GA,2797,1145,1613,0,3,0,29,7,121,2676,1077,1587,0,3,0,2,7
1301024,Alapaha,GA,668,242,411,1,1,0,10,3,23,645,233,407,1,1,0,0,3
1301052,Albany,GA,77434,19549,55456,145,636,89,678,881,1596,75838,19020,55210,131,622,42,76,737
1301248,Aldora,GA,103,85,10,2,0,0,6,0,7,96,84,10,2,0,0,0,0
1301472,Allenhurst,GA,695,333,306,0,16,7,9,24,40,655,314,299,0,16,7,0,19
1301500,Allentown,GA,169,112,49,0,0,0,1,7,5,164,111,49,0,0,0,0,4
1301612,Alma,GA,3466,1826,1405,3,25,4,141,62,249,3217,1725,1401,3,22,4,5,57
1301696,Alpharetta,GA,57551,40310,6245,111,7690,29,1618,1548,4892,52659,37391,6099,70,7678,28,214,1179
1301808,Alston,GA,159,134,20,0,0,0,2,3,2,157,134,20,0,0,0,0,3
1301948,Alto,GA,1172,677,27,4,41,0,394,29,511,661,571,21,4,41,0,0,24
1302060,Ambrose,GA,380,249,64,1,0,2,59,5,95,285,216,64,1,0,0,0,4
1302116,Americus,GA,17041,5219,10818,53,302,3,441,205,786,16255,5006,10752,46,302,3,9,137
1302256,Andersonville,GA,255,155,90,4,0,0,2,4,8,247,155,89,3,0,0,0,0
1302564,Arabi,GA,586,448,134,0,0,0,0,4,1,585,447,134,0,0,0,0,4
1302592,Aragon,GA,1249,1105,69,6,7,0,31,31,63,1186,1076,69,2,7,0,3,29
1302648,Arcade,GA,1786,1587,131,6,20,0,9,33,43,1743,1560,130,5,20,0,0,28
1302844,Argyle,GA,212,110,94,0,0,0,6,2,8,204,110,92,0,0,0,0,2
1302928,Arlington,GA,1479,321,1126,3,0,0,22,7,24,1455,321,1125,3,0,0,1,5
1303124,Arnoldsville,GA,357,308,26,2,10,0,2,9,11,346,301,26,2,10,0,2,5
1303236,Ashburn,GA,4152,1265,2717,9,25,0,92,44,134,4018,1234,2706,9,25,0,10,34
