sumlev,county_id_2010,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
050,28001,Adams,MS,32297,13793,17287,104,127,4,536,446,2150,30147,12485,17150,76,126,3,23,284
050,28003,Alcorn,MS,37057,31656,4221,77,117,8,601,377,1010,36047,31313,4209,62,116,5,28,314
050,28005,Amite,MS,13131,7574,5427,22,12,1,22,73,110,13021,7516,5396,22,12,1,4,70
050,28007,Attala,MS,19564,11000,8208,44,54,4,133,121,323,19241,10866,8180,35,53,4,6,97
050,28009,Benton,MS,8729,5284,3252,25,6,2,72,88,148,8581,5229,3244,25,6,1,10,66
050,28011,Bolivar,MS,34145,11446,21920,42,189,11,324,213,639,33506,11241,21839,38,186,10,15,177
050,28013,Calhoun,MS,14962,10096,4149,17,16,2,511,171,805,14157,9851,4128,17,15,2,1,143
050,28015,Carroll,MS,10597,6956,3461,15,20,0,48,97,106,10491,6927,3444,15,19,0,3,83
050,28017,Chickasaw,MS,17392,9386,7319,23,53,2,442,167,643,16749,9254,7292,22,43,1,7,130
050,28019,Choctaw,MS,8547,5846,2574,16,8,1,10,92,76,8471,5803,2571,10,8,1,2,76
050,28021,Claiborne,MS,9604,1367,8104,9,40,0,29,55,74,9530,1353,8072,9,40,0,6,50
050,28023,Clarke,MS,16732,10741,5759,60,29,1,43,99,132,16600,10674,5749,59,29,1,6,82
050,28025,Clay,MS,20634,8350,12017,27,46,2,72,120,199,20435,8276,11977,27,45,2,14,94
050,28027,Coahoma,MS,26151,5989,19752,23,123,4,128,132,293,25858,5918,19698,20,114,4,7,97
050,28029,Copiah,MS,29449,13627,14983,58,90,4,462,225,773,28676,13399,14924,51,89,3,15,195
050,28031,Covington,MS,19568,12319,6825,24,43,4,187,166,369,19199,12202,6798,20,42,4,4,129
050,28033,De Soto,MS,161252,116440,35266,432,2033,86,4449,2546,8086,153166,113553,35124,343,2011,76,145,1914
050,28035,Forrest,MS,74934,44726,27082,185,498,45,1384,1014,2637,72297,43766,26956,152,494,33,74,822
050,28037,Franklin,MS,8118,5257,2791,14,5,0,6,45,47,8071,5230,2776,14,5,0,1,45
050,28039,George,MS,22578,20266,1829,69,47,0,159,208,453,22125,20009,1821,66,47,0,12,170
050,28041,Greene,MS,14400,10441,3749,40,19,1,23,127,133,14267,10363,3735,40,19,1,2,107
050,28043,Grenada,MS,21906,12465,9140,36,60,2,37,166,197,21709,12350,9106,33,60,0,6,154
050,28045,Hancock,MS,43929,38842,3138,213,419,21,370,926,1446,42483,37914,3075,193,416,20,58,807
050,28047,Harrison,MS,187105,130366,41393,863,5322,263,3911,4987,9937,177168,125741,40975,719,5258,227,214,4034
