place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
2800100,Abbeville,MS,419,378,37,0,0,0,0,4,2,417,376,37,0,0,0,0,4
2800180,Aberdeen,MS,5612,1615,3886,6,13,2,35,55,57,5555,1607,3878,6,13,2,1,48
2800300,Ackerman,MS,1510,865,627,2,2,0,1,13,5,1505,864,627,1,2,0,1,10
2800680,Alcorn State University,MS,1017,19,962,1,12,0,6,17,19,998,15,953,1,12,0,1,16
2800820,Algoma,MS,590,465,107,0,0,0,10,8,11,579,464,107,0,0,0,0,8
2800940,Alligator,MS,208,33,171,0,1,0,2,1,2,206,33,171,0,1,0,0,1
2801260,Amory,MS,7316,5086,2119,18,14,0,25,54,106,7210,5024,2100,18,14,0,3,51
2801500,Anguilla,MS,726,154,565,1,1,0,0,5,0,726,154,565,1,1,0,0,5
2801820,Arcola,MS,361,25,333,0,0,0,1,2,3,358,23,333,0,0,0,0,2
2802060,Arnold Line,MS,1719,987,672,1,32,3,5,19,34,1685,966,670,1,32,2,2,12
2802100,Artesia,MS,440,57,372,0,5,0,1,5,2,438,56,372,0,5,0,0,5
2802140,Ashland,MS,569,527,33,0,2,0,4,3,8,561,523,33,0,2,0,0,3
2802700,Baldwyn,MS,3297,1740,1479,16,3,0,11,48,39,3258,1727,1472,15,3,0,3,38
2803580,Bassfield,MS,254,150,96,0,0,0,7,1,7,247,150,96,0,0,0,0,1
2803620,Batesville,MS,7463,3864,3376,21,44,0,79,79,148,7315,3814,3359,21,43,0,3,75
2803980,Bay St. Louis,MS,9260,7656,1175,30,108,5,87,199,332,8928,7437,1151,28,108,5,15,184
2804060,Bay Springs,MS,1786,717,1037,0,9,0,0,23,14,1772,716,1024,0,9,0,0,23
2804500,Beaumont,MS,951,490,447,5,1,0,0,8,1,950,489,447,5,1,0,0,8
2804540,Beauregard,MS,326,189,131,0,0,0,6,0,9,317,186,131,0,0,0,0,0
2804705,Beechwood,MS,3426,1919,1415,8,35,0,17,32,89,3337,1853,1414,8,35,0,0,27
2805100,Belmont,MS,2021,1796,4,4,2,0,190,25,235,1786,1759,2,4,2,0,0,19
2805140,Belzoni,MS,2235,508,1685,6,14,0,16,6,30,2205,500,1681,4,14,0,0,6
2805220,Benoit,MS,477,85,392,0,0,0,0,0,4,473,85,388,0,0,0,0,0
2805380,Bentonia,MS,440,287,149,0,0,0,1,3,2,438,286,148,0,0,0,1,3
2805820,Beulah,MS,348,25,317,0,2,0,4,0,4,344,25,317,0,2,0,0,0
2806060,Big Creek,MS,154,140,8,2,1,0,0,3,2,152,139,7,2,1,0,0,3
2806180,Big Point,MS,611,593,8,5,0,0,3,2,7,604,589,8,5,0,0,0,2
2806220,Biloxi,MS,44054,30129,8632,221,1951,108,1662,1351,3847,40207,28402,8491,160,1923,84,68,1079
2807060,Blue Mountain,MS,920,725,163,1,5,0,5,21,20,900,712,163,1,5,0,0,19
2807100,Blue Springs,MS,228,217,4,4,1,0,2,0,6,222,216,4,1,1,0,0,0
2807330,Bogue Chitto,MS,887,46,20,795,0,0,1,25,14,873,46,20,784,0,0,0,23
2807340,Bogue Chitto,MS,522,234,280,0,1,0,3,4,6,516,234,277,0,1,0,0,4
