fips,county,state,hs_total,hs_occupied,hs_vacant
37001,Alamance,NC,73385,67925,5460
37003,Alexander,NC,15960,14408,1552
37005,Alleghany,NC,7666,4844,2822
37007,Anson,NC,9834,8554,1280
37009,Ashe,NC,16935,11708,5227
37011,Avery,NC,13827,6860,6967
37013,Beaufort,NC,24090,19430,4660
37015,Bertie,NC,8936,7264,1672
37017,Bladen,NC,15131,12410,2721
37019,Brunswick,NC,88330,61496,26834
37021,Buncombe,NC,129141,116237,12904
37023,Burke,NC,39525,35140,4385
37025,Cabarrus,NC,87410,82596,4814
37027,Caldwell,NC,36931,33166,3765
37029,Camden,NC,4119,3875,244
37031,Carteret,NC,50846,30112,20734
37033,Caswell,NC,10444,9124,1320
37035,Catawba,NC,70744,64471,6273
37037,Chatham,NC,33947,31288,2659
37039,Cherokee,NC,17863,12705,5158
37041,Chowan,NC,7131,5884,1247
37043,Clay,NC,7295,4880,2415
37045,Cleveland,NC,43630,39887,3743
37047,Columbus,NC,23433,20368,3065
37049,Craven,NC,46800,40932,5868
37051,Cumberland,NC,142175,128978,13197
37053,Currituck,NC,15989,10723,5266
37055,Dare,NC,34237,15966,18271
37057,Davidson,NC,74536,68126,6410
37059,Davie,NC,18753,17256,1497
37061,Duplin,NC,23704,19195,4509
37063,Durham,NC,144559,134653,9906
37065,Edgecombe,NC,23059,19971,3088
37067,Forsyth,NC,170176,156635,13541
37069,Franklin,NC,29358,26300,3058
37071,Gaston,NC,98136,90799,7337
37073,Gates,NC,4767,4244,523
37075,Graham,NC,5212,3317,1895
37077,Granville,NC,24214,22461,1753
37079,Greene,NC,7846,6984,862
37081,Guilford,NC,232277,216022,16255
37083,Halifax,NC,24735,20707,4028
37085,Harnett,NC,52876,48083,4793
37087,Haywood,NC,34889,27193,7696
37089,Henderson,NC,56434,49317,7117
37091,Hertford,NC,9803,8351,1452
37093,Hoke,NC,20083,18590,1493
37095,Hyde,NC,3146,1804,1342
37097,Iredell,NC,79372,72706,6666
37099,Jackson,NC,26649,16876,9773
37101,Johnston,NC,84340,79053,5287
37103,Jones,NC,4635,3873,762
37105,Lee,NC,26583,24575,2008
37107,Lenoir,NC,26577,22930,3647
37109,Lincoln,NC,37170,34306,2864
37111,McDowell,NC,21242,18058,3184
37113,Macon,NC,26948,16379,10569
37115,Madison,NC,11045,8920,2125
37117,Martin,NC,11080,9554,1526
37119,Mecklenburg,NC,478966,448814,30152
37121,Mitchell,NC,8638,6612,2026
37123,Montgomery,NC,14773,10333,4440
37125,Moore,NC,48237,41881,6356
37127,Nash,NC,43154,39093,4061
37129,New Hanover,NC,113368,98109,15259
37131,Northampton,NC,10570,7801,2769
37133,Onslow,NC,84180,69576,14604
37135,Orange,NC,61211,57059,4152
37137,Pamlico,NC,7118,5193,1925
37139,Pasquotank,NC,17410,15616,1794
37141,Pender,NC,29927,22962,6965
37143,Perquimans,NC,6866,5566,1300
37145,Person,NC,18284,16176,2108
37147,Pitt,NC,80515,70016,10499
37149,Polk,NC,10775,8538,2237
37151,Randolph,NC,62024,57470,4554
37153,Richmond,NC,19605,17454,2151
37155,Robeson,NC,48426,43402,5024
37157,Rockingham,NC,43431,38740,4691
37159,Rowan,NC,63200,57433,5767
37161,Rutherford,NC,32444,26652,5792
37163,Sampson,NC,25481,22562,2919
37165,Scotland,NC,14348,12870,1478
37167,Stanly,NC,27685,24742,2943
37169,Stokes,NC,21160,18893,2267
37171,Surry,NC,33436,29659,3777
37173,Swain,NC,8341,5734,2607
37175,Transylvania,NC,19025,14385,4640
37177,Tyrrell,NC,1999,1444,555
37179,Union,NC,83788,80167,3621
37181,Vance,NC,19276,17038,2238
37183,Wake,NC,462582,437043,25539
37185,Warren,NC,11309,7894,3415
37187,Washington,NC,6039,4871,1168
37189,Watauga,NC,32637,21413,11224
37191,Wayne,NC,52551,45997,6554
37193,Wilkes,NC,31545,27612,3933
37195,Wilson,NC,36252,32222,4030
37197,Yadkin,NC,16946,15225,1721
37199,Yancey,NC,11230,8120,3110
