sumlev,logrecno,place_id_2010,name,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
160,0384583,3700160,Aberdeen,6350,4311,1566,82,113,0,95,183,323,6027,4116,1553,82,108,0,18,150
160,0384588,3700440,Advance,1138,1075,25,10,1,0,4,23,22,1116,1060,24,10,1,0,0,21
160,0384593,3700500,Ahoskie,5039,1436,3358,76,63,0,50,56,83,4956,1414,3347,75,63,0,8,49
160,0384598,3700640,Alamance,951,902,28,2,10,0,5,4,12,939,895,28,2,10,0,0,4
160,0384603,3700680,Albemarle,15903,11152,3562,49,466,1,387,286,719,15184,10865,3538,45,465,1,14,256
160,0384608,3701000,Alliance,776,626,123,2,3,0,16,6,24,752,620,122,1,3,0,0,6
160,0384613,3701140,Altamahaw,347,325,11,0,0,0,9,2,14,333,321,11,0,0,0,0,1
160,0384618,3701380,Andrews,1781,1582,23,19,1,0,68,88,134,1647,1550,12,18,1,0,0,66
160,0384623,3701400,Angier,4350,2685,945,36,24,1,569,90,885,3465,2436,935,10,23,1,0,60
160,0384632,3701420,Ansonville,631,170,445,0,5,0,7,4,16,615,170,437,0,5,0,1,2
160,0384637,3701520,Apex,37476,29796,2862,106,2652,31,1075,954,2655,34821,28465,2785,77,2641,16,78,759
160,0384644,3701560,Aquadale,397,397,0,0,0,0,0,0,8,389,389,0,0,0,0,0,0
160,0384649,3701640,Arapahoe,556,491,30,1,0,8,18,8,49,507,461,29,1,0,8,0,8
160,0384654,3701720,Archdale,11415,10020,461,63,547,0,163,161,462,10953,9763,445,60,543,0,14,128
160,0384664,3701760,Archer Lodge,4292,3477,378,24,12,1,308,92,522,3770,3300,376,17,12,1,6,58
160,0384669,3702080,Asheboro,25012,16968,3001,219,346,15,3762,701,6719,18293,14504,2919,93,332,8,43,394
160,0384675,3702140,Asheville,83393,66143,11134,280,1142,126,2401,2167,5455,77938,63508,11024,217,1130,123,160,1776
160,0384683,3702240,Ashley Heights,380,216,83,48,0,0,15,18,36,344,205,82,42,0,0,0,15
160,0384688,3702320,Askewville,241,231,7,0,1,0,0,2,0,241,231,7,0,1,0,0,2
160,0384693,3702460,Atkinson,299,253,23,0,0,0,21,2,28,271,247,23,0,0,0,0,1
160,0384698,3702480,Atlantic,543,533,0,0,0,0,7,3,10,533,531,0,0,0,0,0,2
160,0384703,3702500,Atlantic Beach,1495,1412,11,8,14,2,17,31,22,1473,1405,10,7,14,0,7,30
160,0384708,3702580,Aulander,895,391,492,1,1,0,0,10,5,890,386,492,1,1,0,0,10
160,0384713,3702620,Aurora,520,271,222,3,0,1,6,17,15,505,267,218,3,0,1,2,14
160,0384718,3702700,Autryville,196,173,8,4,0,0,0,11,2,194,171,8,4,0,0,0,11
160,0384723,3702760,Avery Creek,1950,1740,61,8,79,0,15,47,86,1864,1675,57,7,79,0,6,40
160,0384728,3702780,Avon,776,762,1,1,0,1,6,5,58,718,712,1,1,0,0,0,4
160,0384733,3702840,Ayden,4932,2370,2382,28,12,1,59,80,122,4810,2333,2363,26,9,1,4,74
160,0384740,3702960,Badin,1974,1093,769,18,7,0,72,15,127,1847,1038,769,15,7,0,4,14
160,0384745,3703020,Bailey,569,375,116,0,0,0,70,8,76,493,370,115,0,0,0,0,8
160,0384750,3703100,Bakersville,464,433,3,2,0,0,12,14,12,452,433,3,2,0,0,0,14
160,0384755,3703150,Bald Head Island,158,148,0,2,4,0,2,2,5,153,147,0,0,4,0,2,0
160,0384760,3703220,Balfour,1187,1033,38,4,15,6,67,24,143,1044,961,38,4,12,6,2,21
160,0384765,3703500,Banner Elk,1028,915,56,1,15,1,24,16,58,970,881,56,1,15,1,4,12
160,0384770,3703640,Barker Heights,1254,887,60,15,6,4,254,28,456,798,710,56,8,6,4,0,14
160,0384775,3703665,Barker Ten Mile,952,654,116,139,20,0,8,15,19,933,646,114,137,20,0,1,15
160,0384781,3703840,Bath,249,243,2,0,0,0,0,4,3,246,243,2,0,0,0,0,1
160,0384786,3703960,Bayboro,1263,533,689,16,6,0,4,15,40,1223,499,689,16,6,0,0,13
160,0384791,3704015,Bayshore,3393,3165,85,5,38,1,56,43,123,3270,3106,82,3,38,1,5,35
160,0384796,3704040,Bayview,346,319,21,0,0,0,2,4,2,344,319,21,0,0,0,0,4
160,0384801,3704180,Bear Grass,73,64,6,0,0,0,0,3,0,73,64,6,0,0,0,0,3
160,0384806,3704260,Beaufort,4039,3191,687,10,29,2,23,97,105,3934,3124,681,9,29,2,4,85
160,0384811,3704510,Beech Mountain,320,313,3,3,0,0,1,0,10,310,304,3,3,0,0,0,0
160,0384820,3704640,Belhaven,1688,659,933,20,8,0,39,29,85,1603,635,930,8,8,0,0,22
160,0384825,3704680,Bell Arthur,466,288,156,0,5,0,7,10,19,447,285,152,0,5,0,0,5
160,0384831,3704840,Belmont,10076,8422,894,34,410,16,142,158,355,9721,8242,878,32,409,11,9,140
160,0384837,3704950,Belville,1936,1493,335,8,19,1,39,41,94,1842,1441,334,8,19,1,3,36
160,0384842,3704955,Belvoir,307,184,109,3,0,0,5,6,12,295,184,108,0,0,0,0,3
160,0384847,3704960,Belwood,950,896,23,9,3,0,9,10,39,911,869,23,9,3,0,0,7
160,0384852,3705020,Bennett,282,260,9,1,7,0,0,5,0,282,260,9,1,7,0,0,5
160,0384857,3705040,Benson,3311,1993,880,13,16,1,333,75,463,2848,1908,873,10,16,0,9,32
160,0384865,3705049,Bent Creek,1287,1231,4,9,12,0,23,8,37,1250,1220,4,6,12,0,0,8
160,0384870,3705135,Bermuda Run,1725,1651,29,3,22,1,2,17,14,1711,1640,29,3,21,1,0,17
160,0384875,3705220,Bessemer City,5340,4252,771,22,35,0,159,101,273,5067,4167,765,22,35,0,7,71
160,0384881,3705340,Bethania,328,289,27,0,0,0,4,8,11,317,282,27,0,0,0,0,8
160,0384889,3705460,Bethel,1577,613,939,4,4,1,11,5,15,1562,611,939,4,4,1,0,3
160,0384894,3705530,Bethlehem,4214,4070,31,8,38,1,17,49,83,4131,4004,31,8,38,1,5,44
160,0384899,3705660,Beulaville,1296,903,302,3,6,1,64,17,84,1212,883,302,3,6,1,2,15
160,0384904,3705880,Biltmore Forest,1343,1322,5,0,4,0,1,11,13,1330,1309,5,0,4,0,1,11
160,0384909,3706000,Biscoe,1700,864,348,4,13,1,442,28,604,1096,722,343,3,11,1,0,16
160,0384914,3706080,Black Creek,769,561,144,1,5,0,46,12,65,704,545,144,1,5,0,0,9
160,0384919,3706140,Black Mountain,7848,7064,470,20,49,2,62,181,193,7655,6964,466,13,47,0,5,160
160,0384924,3706240,Bladenboro,1750,1281,411,17,7,0,9,25,36,1714,1262,404,17,7,0,0,24
160,0384929,3706500,Blowing Rock,1241,1199,4,0,3,0,4,31,20,1221,1190,4,0,3,0,0,24
160,0384939,3706510,Blue Clay Farms,33,17,13,0,1,0,1,1,0,33,17,13,0,1,0,1,1
160,0384944,3706660,Boardman,157,104,53,0,0,0,0,0,0,157,104,53,0,0,0,0,0
160,0384949,3706740,Bogue,684,635,15,1,4,0,17,12,36,648,613,15,0,4,0,4,12
160,0384954,3706760,Boiling Spring Lakes,5372,4941,228,22,28,6,45,102,144,5228,4847,223,20,28,6,8,96
160,0384959,3706800,Boiling Springs,4647,4001,526,9,18,0,25,68,92,4555,3940,525,6,18,0,7,59
160,0384965,3706820,Bolivia,143,127,12,0,0,0,0,4,0,143,127,12,0,0,0,0,4
160,0384970,3706860,Bolton,691,163,478,22,0,0,11,17,20,671,159,473,21,0,0,2,16
