fips,place,state,hs_total,hs_occupied,hs_vacant
3700160,Aberdeen,NC,3879,3594,285
3700440,Advance,NC,631,586,45
3700500,Ahoskie,NC,2326,2015,311
3700640,Alamance,NC,400,381,19
3700680,Albemarle,NC,7511,6763,748
3700880,Alexis,NC,276,242,34
3701000,Alliance,NC,328,282,46
3701140,Altamahaw,NC,150,139,11
3701340,Anderson Creek,NC,5175,4749,426
3701380,Andrews,NC,895,707,188
3701400,Angier,NC,2162,2025,137
3701420,Ansonville,NC,213,182,31
3701520,Apex,NC,22151,20851,1300
3701560,Aquadale,NC,169,150,19
3701640,Arapahoe,NC,219,190,29
3701720,Archdale,NC,5138,4905,233
3701760,Archer Lodge,NC,1707,1646,61
3701972,Arrowhead Beach,NC,487,322,165
3702080,Asheboro,NC,11855,10929,926
3702140,Asheville,NC,47606,43216,4390
3702240,Ashley Heights,NC,150,133,17
3702320,Askewville,NC,97,88,9
3702460,Atkinson,NC,126,108,18
3702480,Atlantic,NC,374,224,150
3702500,Atlantic Beach,NC,4844,809,4035
3702580,Aulander,NC,403,318,85
3702620,Aurora,NC,275,205,70
3702700,Autryville,NC,98,91,7
3702760,Avery Creek,NC,917,858,59
3702780,Avon,NC,1631,413,1218
3702840,Ayden,NC,2516,2206,310
3702960,Badin,NC,605,525,80
3703020,Bailey,NC,246,211,35
3703100,Bakersville,NC,244,196,48
3703150,Bald Head Island,NC,1050,142,908
3703220,Balfour,NC,595,531,64
3703500,Banner Elk,NC,622,292,330
3703640,Barker Heights,NC,502,455,47
3703665,Barker Ten Mile,NC,391,373,18
3703720,Barnardsville,NC,255,227,28
3703840,Bath,NC,163,122,41
3703960,Bayboro,NC,312,249,63
3704015,Bayshore,NC,1583,1493,90
3704040,Bayview,NC,264,148,116
3704180,Bear Grass,NC,41,41,0
3704260,Beaufort,NC,3094,2273,821
3704510,Beech Mountain,NC,2356,348,2008
3704640,Belhaven,NC,893,701,192
3704680,Bell Arthur,NC,190,177,13
3704840,Belmont,NC,6426,5936,490
3704950,Belville,NC,1014,963,51
3704955,Belvoir,NC,120,113,7
3704960,Belwood,NC,426,369,57
3705020,Bennett,NC,137,124,13
3705040,Benson,NC,1763,1575,188
3705049,Bent Creek,NC,609,576,33
3705135,Bermuda Run,NC,1593,1477,116
3705220,Bessemer City,NC,2445,2230,215
3705340,Bethania,NC,168,153,15
3705460,Bethel,NC,700,594,106
3705530,Bethlehem,NC,2014,1863,151
3705660,Beulaville,NC,648,552,96
3705880,Biltmore Forest,NC,683,578,105
3706000,Biscoe,NC,669,625,44
3706080,Black Creek,NC,318,271,47
3706140,Black Mountain,NC,4476,3906,570
3706240,Bladenboro,NC,851,747,104
3706500,Blowing Rock,NC,2084,684,1400
3706510,Blue Clay Farms,NC,72,72,0
3706660,Boardman,NC,82,60,22
3706740,Bogue,NC,319,284,35
3706760,Boiling Spring Lakes,NC,2605,2403,202
3706800,Boiling Springs,NC,1465,1401,64
3706820,Bolivia,NC,69,55,14
3706860,Bolton,NC,273,211,62
3706980,Bonnetsville,NC,151,131,20
3707080,Boone,NC,7217,6251,966
3707140,Boonville,NC,555,506,49
3707220,Bostic,NC,180,156,24
3707340,Bowdens,NC,116,66,50
3707400,Bowmore,NC,43,36,7
3707588,Brandywine Bay,NC,629,569,60
3707720,Brevard,NC,3935,3427,508
