fips,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
3700160,Aberdeen,NC,8516,5524,1772,104,165,1,225,725,601,7915,5366,1761,92,158,1,44,493
3700440,Advance,NC,1499,1352,39,2,7,0,21,78,57,1442,1339,39,2,7,0,10,45
3700500,Ahoskie,NC,4891,1172,3348,61,70,1,61,178,108,4783,1158,3334,57,68,1,18,147
3700640,Alamance,NC,988,838,66,2,9,0,21,52,42,946,834,66,2,8,0,2,34
3700680,Albemarle,NC,16432,10368,3922,81,454,1,613,993,1004,15428,10205,3873,44,452,1,61,792
3700880,Alexis,NC,589,543,13,3,2,0,2,26,7,582,540,13,3,2,0,0,24
3701000,Alliance,NC,733,567,125,1,5,1,7,27,28,705,556,123,1,5,1,1,18
3701140,Altamahaw,NC,334,309,3,0,0,1,7,14,4,330,308,3,0,0,0,5,14
3701340,Anderson Creek,NC,13636,7290,3697,161,269,51,677,1491,1777,11859,6820,3577,132,251,44,111,924
3701380,Andrews,NC,1667,1434,21,29,0,0,65,118,139,1528,1388,21,25,0,0,4,90
3701400,Angier,NC,5265,3002,1018,46,41,2,671,485,1136,4129,2845,1005,10,39,0,27,203
3701420,Ansonville,NC,440,99,319,3,1,0,7,11,13,427,99,318,2,1,0,1,6
3701520,Apex,NC,58780,40447,3941,176,7315,19,1763,5119,4903,53877,39498,3852,99,7295,16,297,2820
3701560,Aquadale,NC,348,335,0,0,1,1,3,8,6,342,332,0,0,1,1,1,7
3701640,Arapahoe,NC,416,349,29,6,0,1,5,26,30,386,333,28,6,0,0,1,18
3701720,Archdale,NC,11907,8965,756,86,1061,2,408,629,787,11120,8831,744,55,1061,2,30,397
3701760,Archer Lodge,NC,4797,3490,362,37,28,4,347,529,758,4039,3363,357,22,27,4,30,236
3701972,Arrowhead Beach,NC,640,574,12,3,3,0,18,30,36,604,563,11,3,2,0,0,25
3702080,Asheboro,NC,27156,15588,3342,341,372,5,4579,2929,7985,19171,14315,3300,119,365,3,83,986
3702140,Asheville,NC,94589,71669,9938,357,1512,268,3917,6928,7657,86932,70252,9752,200,1504,255,654,4315
3702240,Ashley Heights,NC,301,168,47,45,1,2,13,25,24,277,161,47,41,1,1,2,24
3702320,Askewville,NC,184,173,4,0,0,0,6,1,6,178,173,4,0,0,0,0,1
3702460,Atkinson,NC,296,223,27,1,1,1,21,22,30,266,221,25,1,1,1,1,16
3702480,Atlantic,NC,468,453,0,0,0,0,10,5,13,455,451,0,0,0,0,0,4
3702500,Atlantic Beach,NC,1364,1319,0,0,2,0,4,39,26,1338,1302,0,0,2,0,2,32
3702580,Aulander,NC,763,332,364,2,2,0,21,42,30,733,331,360,1,2,0,3,36
3702620,Aurora,NC,455,219,218,1,0,0,1,16,4,451,219,218,0,0,0,0,14
3702700,Autryville,NC,167,154,5,0,0,0,1,7,6,161,151,4,0,0,0,1,5
3702760,Avery Creek,NC,2241,1816,98,1,141,0,41,144,113,2128,1790,96,1,140,0,5,96
3702780,Avon,NC,832,770,7,0,6,1,16,32,33,799,761,7,0,6,1,0,24
3702840,Ayden,NC,4977,2294,2264,24,12,8,121,254,236,4741,2260,2236,21,10,5,20,189
3702960,Badin,NC,2024,1089,722,11,13,1,90,98,119,1905,1076,721,11,13,1,1,82
3703020,Bailey,NC,568,347,92,7,3,0,74,45,111,457,339,84,4,3,0,1,26
3703100,Bakersville,NC,450,394,0,2,6,0,5,43,15,435,393,0,2,6,0,2,32
3703150,Bald Head Island,NC,268,244,10,0,4,0,0,10,9,259,243,10,0,1,0,0,5
3703220,Balfour,NC,1335,1002,47,7,16,5,155,103,229,1106,974,45,0,16,3,11,57
3703500,Banner Elk,NC,1049,915,48,10,6,0,36,34,74,975,883,47,7,6,0,18,14
3703640,Barker Heights,NC,1249,676,55,11,12,14,365,116,491,758,646,52,6,7,8,6,33
3703665,Barker Ten Mile,NC,937,564,130,157,16,1,17,52,62,875,546,128,149,16,1,0,35
3703720,Barnardsville,NC,559,507,3,0,2,0,11,36,13,546,501,3,0,2,0,10,30
3703840,Bath,NC,245,238,2,0,1,0,1,3,4,241,238,2,0,1,0,0,0
3703960,Bayboro,NC,1161,533,526,4,1,2,48,47,59,1102,533,526,4,1,2,1,35
3704015,Bayshore,NC,3833,3365,90,14,53,4,127,180,240,3593,3303,84,7,53,4,22,120
3704040,Bayview,NC,298,262,13,2,2,0,0,19,6,292,262,13,1,2,0,0,14
3704180,Bear Grass,NC,89,83,1,0,0,0,1,4,2,87,83,1,0,0,0,0,3
