geocode,county,state,hs_total,hs_occupied,hs_vacant
37001020100,Alamance,NC,2033,1804,229
37001020200,Alamance,NC,1867,1556,311
37001020301,Alamance,NC,1665,1497,168
37001020302,Alamance,NC,1409,1285,124
37001020400,Alamance,NC,2640,2297,343
37001020501,Alamance,NC,1605,1409,196
37001020502,Alamance,NC,1502,1328,174
37001020601,Alamance,NC,1427.9831323795838,1359.9831323795838,68
37001020602,Alamance,NC,1285,1140,145
37001020701,Alamance,NC,2536,2213,323
37001020702,Alamance,NC,2455,2137,318
37001020801,Alamance,NC,715.9845893188659,643.9845893188659,72
37001020802,Alamance,NC,2695.1322108213712,2355.4618977022224,339.670313119149
37001020901,Alamance,NC,1574.4095696819982,1469.149944858198,105.25962482379997
37001020902,Alamance,NC,1407,1341,66
37001021000,Alamance,NC,1789.4736301777648,1533.4035681207138,256.070062057051
37001021101,Alamance,NC,1281,1105,176
37001021102,Alamance,NC,1538,1365,173
37001021201,Alamance,NC,2382,2088,294
37001021204,Alamance,NC,1765.568338941912,1616.568338941912,149
37001021205,Alamance,NC,2067.143958497314,1960.0014992676736,107.14245922964041
37001021206,Alamance,NC,1821,1668,153
37001021207,Alamance,NC,1486.482010152927,1355.4141083060395,131.06790184688754
37001021300,Alamance,NC,2496.3167364484093,2293.61701362521,202.6997228231993
37001021400,Alamance,NC,1202.8474028314697,1093.8831399285625,108.96426290290727
37001021500,Alamance,NC,2004.3114513005005,1833.3879751548748,170.9234761456257
37001021600,Alamance,NC,2379.2903241461827,2055.632505926428,323.65781821975446
37001021701,Alamance,NC,1428,1351,77
37001021702,Alamance,NC,1879.016867620416,1801.0168676204162,78
37001021703,Alamance,NC,2435.9978459147233,2198.9980152870035,236.99983062771975
37001021801,Alamance,NC,1936.003726190166,1793.0035568178857,143.00016937228028
37001021802,Alamance,NC,1535,1407,128
37001021803,Alamance,NC,1249.8110380934206,1129.830616780322,119.98042131309862
37001021901,Alamance,NC,1984,1816,168
37001021902,Alamance,NC,1840,1688,152
37001022001,Alamance,NC,1486,1342,144
37001022002,Alamance,NC,1798.861473163282,1655.135674954016,143.7257982092662
37003040100,Alexander,NC,1541.4453761809766,1373.5135656610528,167.93181051992383
37003040200,Alexander,NC,1796,1615,181
37003040300,Alexander,NC,1406,1260,146
37003040400,Alexander,NC,3026,2656,370
37003040500,Alexander,NC,2996.8717017523572,2681.896655870335,314.9750458820222
37003040600,Alexander,NC,2472,2141,331
37003040700,Alexander,NC,2950,2697,253
37005950100,Alleghany,NC,3375.2858293491427,1730.5685059580849,1644.7173233910578
37005950200,Alleghany,NC,2125,1653,472
37005950300,Alleghany,NC,2580.2604696365097,1396.9850902152361,1183.2753794212736
37007920100,Anson,NC,1676,1363,313
37007920200,Anson,NC,843.995587467103,694.995587467103,149
37007920301,Anson,NC,2419.2403573759566,2093.2675666686473,325.9727907073092
37007920302,Anson,NC,325.6901719624238,274.6901719624238,51
37007920400,Anson,NC,1407.3412038580336,1178.1968647186895,229.14433913934425
37007920501,Anson,NC,527.8128728385543,444.73339890283376,83.07947393572056
37007920502,Anson,NC,2338.850335836309,2028.0741489113739,310.7761869249352
37007920600,Anson,NC,2035,1676,359
37007980000,Anson,NC,1.3098280375762386,1.3098280375762386,0
37009970200,Ashe,NC,1708,1275,433
37009970300,Ashe,NC,1595.996772764135,1071.9984509267847,523.9983218373501
37009970400,Ashe,NC,2506.921873570579,1973.921873570579,533
37009970501,Ashe,NC,2129,1460,669
37009970502,Ashe,NC,1650.078126429421,1328.078126429421,322
37009970701,Ashe,NC,2526.96722607491,1448.0104109406998,1078.9568151342098
37009970702,Ashe,NC,1696.5641296903163,1064.1270887836615,632.4370409066547
37009970801,Ashe,NC,1515.1958256602577,940.8572511393031,574.3385745209547
37009970802,Ashe,NC,1999.5454787305998,1187.2741456299937,812.2713331006062
37011930100,Avery,NC,2620.2365518720744,1175.9336986747173,1444.3028531973573
37011930200,Avery,NC,5315.235276930637,1207.0798565593773,4108.15542037126
37011930301,Avery,NC,2338.8347594915676,1494.8347594915676,844
37011930302,Avery,NC,1723.584145813096,1326.1679443680764,397.4162014450196
37011930400,Avery,NC,1893.9862135874957,1460.992039050552,432.9941745369437
37013930101,Beaufort,NC,1586.1788635651137,1309.0564814635472,277.12238210156636
37013930102,Beaufort,NC,1166,926,240
37013930200,Beaufort,NC,2670,2432,238
37013930300,Beaufort,NC,2170.861517210647,1832.8922911638365,337.9692260468104
