geocode,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
37001020100,Alamance,NC,3908,2645,883,15,29,6,230,100,428,3480,2488,875,10,28,6,4,69
37001020200,Alamance,NC,4152,1924,1239,57,61,0,728,143,1221,2931,1552,1222,24,55,0,3,75
37001020301,Alamance,NC,4183,1775,1576,32,42,2,661,95,1057,3126,1459,1563,18,42,2,8,34
37001020302,Alamance,NC,3880,1679,993,42,79,0,966,121,1529,2351,1246,972,14,76,0,8,35
37001020400,Alamance,NC,6059,1530,3669,25,19,11,647,158,1167,4892,1131,3615,10,19,11,12,94
37001020501,Alamance,NC,3575,2756,518,20,20,1,212,48,340,3235,2645,513,17,20,1,5,34
37001020502,Alamance,NC,3782,1632,1560,30,47,0,379,134,836,2946,1283,1541,9,47,0,2,64
37001020601,Alamance,NC,3233.983132379584,3021.983132379584,92,3,46,1,44,26,86,3147.983132379584,2984.983132379584,90,2,46,0,1,24
37001020602,Alamance,NC,2414,2133,147,7,17,1,56,53,115,2299,2075,146,6,17,1,11,43
37001020701,Alamance,NC,4519,3442,600,24,228,3,126,96,238,4281,3355,594,18,226,3,6,79
37001020702,Alamance,NC,4742,3142,1117,13,93,8,247,122,469,4273,2963,1101,9,92,7,12,89
37001020801,Alamance,NC,1449.967466339828,1055.984589318866,200.98287702096212,22,29,0,106,36,198,1251.967466339828,984.9845893188659,196.98287702096212,12,29,0,0,29
37001020802,Alamance,NC,5853.276811647152,2694.0695922155496,1824.7624359398715,79,113.55970232167614,2,967.1602220883482,172.72485908170665,1447.7616146344774,4405.515197012674,2321.2380145423413,1802.9926210669503,32,111.55970232167614,2,25,110.72485908170664
37001020901,Alamance,NC,3590.21227102496,2401.383635692743,495.96227689148316,108,76.44029767832386,0,437.1260896234031,71.29997113900643,791.4249540585637,2798.7873169663962,2165.3149563846614,489.7320917644044,15,76.44029767832386,0,4,48.29997113900643
37001020902,Alamance,NC,3380,2643,324,51,48,0,266,48,393,2987,2575,318,16,48,0,1,29
37001021000,Alamance,NC,3716.54345098806,1808.5621827728414,1315.2924101476833,38,27,1,437.71368828824865,88.97516977928693,698.8134313069588,3017.730019681101,1604.462439754131,1297.2924101476833,17,27,0,11,60.97516977928693
37001021101,Alamance,NC,2668,1653,751,27,26,0,143,68,296,2372,1536,748,16,20,0,7,45
37001021102,Alamance,NC,3318,2526,531,29,68,0,88,76,247,3071,2412,522,18,67,0,0,52
37001021201,Alamance,NC,5252,2976,1455,55,7,0,668,91,1004,4248,2739,1435,18,7,0,1,48
37001021204,Alamance,NC,4283.726437681548,3272.6751734849736,637.0382185846544,10.021489249778952,29.91271602447717,0,243.0788403376647,91,447.093166504184,3836.633271177365,3102.6751734849736,635.0382185846544,9.00716308325965,29.91271602447717,0,3,57
37001021205,Alamance,NC,4636.321315249798,3391.1058865759414,982.7124602225622,12.983100492166637,59.12510040499776,6,65.0763272410792,119.31844031305093,212.3215876295879,4423.99972762021,3284.775849192437,977.7124602225622,8.983100492166637,57.12510040499776,6,2.0763272410791993,87.32689006696761
37001021206,Alamance,NC,4320,3013,909,27,43,3,208,117,421,3899,2844,890,17,43,3,10,92
37001021207,Alamance,NC,3162.5716799724446,2548.0457496765366,416.58390196178135,25,11.130475509402416,2,68.15917527771215,91.65237754701208,181.85723033245466,2980.7144496399897,2472.1305476782086,413.3229509429765,16,11.130475509402416,2,5,61.130475509402416
37001021300,Alamance,NC,6041.738515222603,3734.972508104456,1918.2959859958714,64.98235893439472,14.999175024195628,0,187.92554206214086,120.56294510154409,352.69519753768026,5689.043317684923,3618.9735295653304,1902.3010537636637,52.98235893439473,14.999175024195628,0,11,88.78720039733857
37001021400,Alamance,NC,2641.7941458326445,2415.9596177819885,159,9,10,0,26.834528050656427,21,60.834528050656424,2580.9596177819885,2385.959617781988,156,9,10,0,1,19
37001021500,Alamance,NC,4679.257018892203,4218.3325736200495,344.9782764176937,9.993824671217,16.981474013651003,1,47.938246712170006,40.032623457421266,99.92887378742971,4579.328145104773,4176.3419465447905,344.9782764176937,5.993824671217,16.981474013651003,1,3,31.032623457421266
37001021600,Alamance,NC,6931.224176266968,5907.465381396645,701.7572581079534,27,77,1,99.00153676236998,118,276.941210384985,6654.282965881984,5748.52570777403,689.7572581079534,25,75,1,11,104
37001021701,Alamance,NC,3237,3025,120,4,23,1,38,26,80,3157,2985,120,4,23,1,2,22
37001021702,Alamance,NC,5282.016867620416,4484.016867620416,488,3,170,3,49,85,126,5156.016867620416,4409.016867620416,486,3,169,3,7,79
37001021703,Alamance,NC,4865.993890924033,3837.993805969935,590,2,209.00006371557367,2,124.00002123852457,101,235.99983062771972,4629.994060296313,3734.993975342215,580,1,209.00006371557367,2,15.000021238524559,88
37001021801,Alamance,NC,4441.008976730855,4127.008976730855,204,18,23,0,26,43,75.00016937228027,4366.008807358574,4081.008807358574,203,17,23,0,0,42
37001021802,Alamance,NC,3553,3362,114,9,11,2,17,38,85,3468,3295,114,9,11,2,0,37
37001021803,Alamance,NC,2878.6018487511155,2657.8319169590077,114.77152598745026,5,2,0,46,52.998405804657835,94.97586512511243,2783.6259836260033,2606.856051833895,114.77152598745026,4,2,0,5,50.998405804657835
37001021901,Alamance,NC,4535,4091,261,30,15,0,72,66,174,4361,4014,257,18,15,0,0,57
37001021902,Alamance,NC,4423,3709,351,29,14,0,239,81,413,4010,3577,331,12,14,0,5,71
37001022001,Alamance,NC,3319,2854,245,18,15,0,105,82,242,3077,2734,237,18,15,0,4,69
37001022002,Alamance,NC,4275.313216516572,3381.4032023065656,519.9557006186884,39.27477776194671,18.102389496486,1,224.6253445027174,90.95180183016757,510.600202314607,3764.7130142019646,3169.5888323018858,490.95570061868847,31.096260296335107,14.102389496486,1,6,51.969831488569305
37003040100,Alexander,NC,3474.406536038746,3291.326789541815,78.69346948468298,7,12,0,55.99933804288241,29.386938969365946,83.99884157504421,3390.407694463702,3270.3272860096527,78.69346948468298,3,11,0,0,27.386938969365946
37003040200,Alexander,NC,3994,3801,87,8,16,0,48,34,100,3894,3761,83,6,16,0,0,28
37003040300,Alexander,NC,3202,3020,102,6,10,1,21,42,60,3142,2991,102,5,9,0,1,34
37003040400,Alexander,NC,6552,5307,809,14,54,2,220,146,430,6122,5126,806,11,54,2,5,118
37003040500,Alexander,NC,6981.762556718936,6086.787641522676,343,15,61,2,340.9811863971951,132.99372879906502,566.9749151962601,6414.787641522676,5894.793912723611,334,13,61,2,7,102.99372879906502
37003040600,Alexander,NC,6347,5442,575,33,99,4,130,64,253,6094,5334,574,31,98,4,4,49
37003040700,Alexander,NC,6645,6375,48,15,108,3,22,74,107,6538,6293,47,15,108,3,6,66
37005950100,Alleghany,NC,4093.6958449557665,3805.662085584584,41.00001768967533,1.509779913864391,16.000008844837666,0,181.52383337292653,48.00011954987864,315.03360444195323,3778.6622405138132,3689.152314515557,37.00001768967533,1.509779913864391,16.000008844837666,0,1,34.00011954987864
37005950200,Alleghany,NC,3870,3433,83,19,26,3,248,58,472,3398,3247,80,11,25,2,0,33
37005950300,Alleghany,NC,3204.1496179300552,3062.1496179300552,16,7,12,0,85,22,216.94385274226062,2987.205765187795,2938.205765187795,16,6,12,0,0,15
37007920100,Anson,NC,3411,1539,1762,27,9,0,12,62,36,3375,1527,1761,22,9,0,0,56
37007920200,Anson,NC,1737.991174934206,977,675.9911749342058,10,43,0,23,9,36,1701.991174934206,974,666.9911749342058,10,43,0,1,7
37007920301,Anson,NC,5295.810731435144,3673.3208950444646,1363.4898363906793,28,91,3,67,70,112,5183.810731435144,3636.3208950444646,1354.4898363906793,27,91,3,9,63
37007920302,Anson,NC,1442.1539007225022,865.4971644161898,523.4504727675559,17.183783173322755,6.866461680601974,0.34508598121188083,23.465846722407896,5.345085981211881,116.75761305872464,1325.3962876637775,771.5152261174493,522.0701288427084,17.183783173322755,6.521375699390093,0.34508598121188083,2.4156018684831655,5.345085981211881
37007920400,Anson,NC,3032.5861816231713,791,2159.441842483827,14,9,0,37,22.14433913934426,54,2978.5861816231713,781,2152.441842483827,14,9,0,1,21.14433913934426
37007920501,Anson,NC,1103.1818845596106,461.6975922856461,613.4483826463509,5,2,0,2,19.035909627613666,7,1096.1818845596106,461.6975922856461,610.4483826463509,5,2,0,0,17.035909627613666
37007920502,Anson,NC,5034.240758883012,2341.3024077143536,2472.118599935616,8,97,0,37,78.81975123304207,74,4960.240758883012,2322.3024077143536,2457.118599935616,8,96,0,6,70.81975123304207
37007920600,Anson,NC,4451,1584,2640,27,19,0,111,70,204,4247,1525,2636,16,14,0,3,53
37007980000,Anson,NC,1438.846099277498,473.5028355838102,879.5495272324441,28.81621682667725,11.133538319398028,0.6549140187881193,44.53415327759211,0.6549140187881193,172.24238694127536,1266.6037123362225,344.4847738825507,876.9298711572917,28.81621682667725,10.478624300609908,0.6549140187881193,4.584398131516835,0.6549140187881193
37009970200,Ashe,NC,2884,2793,3,10,2,1,40,35,78,2806,2765,3,9,2,1,0,26
37009970300,Ashe,NC,2469.996858823758,2406.996944883381,4,7,12.999956970188464,0,0,38.999956970188464,37.999956970188464,2431.9969018535694,2368.9969879131922,4,7,12.999956970188464,0,0,38.999956970188464
37009970400,Ashe,NC,4527.765620711737,4320.765620711737,19,13,26,0,95,54,238,4289.765620711737,4189.765620711737,19,11,26,0,1,43
37009970501,Ashe,NC,3274,3095,33,11,20,0,94,21,150,3124,3046,32,8,20,0,0,18
