geocode,county,state,hs_total,hs_occupied,hs_vacant
37001020100,Alamance,NC,2059,1894,165
37001020200,Alamance,NC,1786,1607,179
37001020301,Alamance,NC,1677,1571,106
37001020302,Alamance,NC,1435,1360,75
37001020400,Alamance,NC,2710,2464,246
37001020501,Alamance,NC,1686,1488,198
37001020502,Alamance,NC,1592,1474,118
37001020601,Alamance,NC,1435,1347,88
37001020602,Alamance,NC,1289,1212,77
37001020701,Alamance,NC,2554,2379,175
37001020702,Alamance,NC,2486,2323,163
37001020801,Alamance,NC,880,803,77
37001020802,Alamance,NC,2676,2446,230
37001020901,Alamance,NC,1636,1521,115
37001020902,Alamance,NC,1662,1551,111
37001021000,Alamance,NC,1944,1763,181
37001021101,Alamance,NC,1993,1771,222
37001021102,Alamance,NC,1566,1477,89
37001021201,Alamance,NC,2756,2434,322
37001021204,Alamance,NC,2120,1991,129
37001021205,Alamance,NC,3547,3334,213
37001021206,Alamance,NC,2217,2096,121
37001021207,Alamance,NC,1635,1541,94
37001021300,Alamance,NC,2581,2403,178
37001021400,Alamance,NC,1232,1147,85
37001021500,Alamance,NC,1945,1817,128
37001021600,Alamance,NC,2701,2524,177
37001021701,Alamance,NC,1621,1497,124
37001021702,Alamance,NC,1793,1662,131
37001021703,Alamance,NC,3757,3522,235
37001021801,Alamance,NC,2035,1880,155
37001021802,Alamance,NC,1540,1447,93
37001021803,Alamance,NC,1312,1191,121
37001021901,Alamance,NC,2011,1872,139
37001021902,Alamance,NC,1907,1761,146
37001022001,Alamance,NC,1622,1510,112
37001022002,Alamance,NC,1987,1845,142
37003040100,Alexander,NC,1474,1297,177
37003040200,Alexander,NC,1792,1627,165
37003040300,Alexander,NC,1399,1267,132
37003040400,Alexander,NC,2977,2694,283
37003040500,Alexander,NC,2916,2627,289
37003040600,Alexander,NC,2339,2059,280
37003040700,Alexander,NC,3063,2837,226
37005950100,Alleghany,NC,3210,1804,1406
37005950200,Alleghany,NC,1995,1603,392
37005950300,Alleghany,NC,2461,1437,1024
37007920100,Anson,NC,1346,1188,158
37007920200,Anson,NC,676,590,86
37007920301,Anson,NC,2106,1868,238
37007920302,Anson,NC,306,273,33
37007920400,Anson,NC,1201,1005,196
37007920501,Anson,NC,462,402,60
37007920502,Anson,NC,2072,1800,272
37007920600,Anson,NC,1665,1428,237
37007980000,Anson,NC,0,0,0
37009970200,Ashe,NC,1565,1139,426
37009970300,Ashe,NC,1518,1067,451
37009970400,Ashe,NC,2496,1964,532
37009970501,Ashe,NC,2083,1494,589
37009970502,Ashe,NC,1606,1291,315
37009970701,Ashe,NC,2603,1496,1107
37009970702,Ashe,NC,1691,1088,603
37009970801,Ashe,NC,1493,976,517
37009970802,Ashe,NC,1880,1193,687
37011930100,Avery,NC,2797,1194,1603
37011930200,Avery,NC,5361,1605,3756
37011930301,Avery,NC,2304,1467,837
37011930302,Avery,NC,1600,1266,334
37011930400,Avery,NC,1765,1328,437
37013930101,Beaufort,NC,1490,1175,315
37013930102,Beaufort,NC,1090,841,249
37013930200,Beaufort,NC,2695,2449,246
37013930300,Beaufort,NC,2219,1858,361
37013930400,Beaufort,NC,2410,2133,277
37013930501,Beaufort,NC,2242,1913,329
37013930502,Beaufort,NC,1571,1426,145
37013930600,Beaufort,NC,1566,1357,209
37013930700,Beaufort,NC,2123,1253,870
37013930800,Beaufort,NC,1319,905,414
37013930900,Beaufort,NC,2598,1859,739
37013931001,Beaufort,NC,1239,1041,198
37013931002,Beaufort,NC,1528,1220,308
37015960100,Bertie,NC,2568,2103,465
37015960200,Bertie,NC,1706,1387,319
37015960300,Bertie,NC,1487,1235,252
37015960401,Bertie,NC,1664,1348,316
37015960402,Bertie,NC,1511,1191,320
37017950101,Bladen,NC,1074,856,218
37017950102,Bladen,NC,2152,1164,988
37017950200,Bladen,NC,1279,1109,170
37017950301,Bladen,NC,1118,987,131
37017950302,Bladen,NC,1505,1349,156
37017950401,Bladen,NC,1732,1511,221
37017950402,Bladen,NC,909,822,87
37017950501,Bladen,NC,1092,956,136
37017950502,Bladen,NC,1686,1453,233
37017950601,Bladen,NC,1410,1205,205
37017950602,Bladen,NC,1174,998,176
37019020101,Brunswick,NC,1113,1018,95
37019020102,Brunswick,NC,2665,2523,142
37019020105,Brunswick,NC,3033,2819,214
37019020106,Brunswick,NC,1195,1136,59
37019020107,Brunswick,NC,1234,1122,112
37019020108,Brunswick,NC,1500,1357,143
37019020201,Brunswick,NC,2428,2224,204
37019020203,Brunswick,NC,1068,971,97
37019020204,Brunswick,NC,2946,2705,241
37019020205,Brunswick,NC,4005,3730,275
37019020206,Brunswick,NC,904,810,94
37019020304,Brunswick,NC,5547,4440,1107
37019020305,Brunswick,NC,2183,1738,445
37019020306,Brunswick,NC,1345,1181,164
37019020307,Brunswick,NC,1050,142,908
37019020308,Brunswick,NC,2456,1018,1438
37019020311,Brunswick,NC,1743,1174,569
37019020312,Brunswick,NC,532,459,73
37019020313,Brunswick,NC,2742,1424,1318
37019020314,Brunswick,NC,1061,272,789
37019020315,Brunswick,NC,2881,956,1925
37019020316,Brunswick,NC,817,333,484
37019020404,Brunswick,NC,2132,1340,792
37019020405,Brunswick,NC,1808,1366,442
37019020406,Brunswick,NC,2303,458,1845
37019020407,Brunswick,NC,1989,920,1069
37019020408,Brunswick,NC,1924,1211,713
37019020409,Brunswick,NC,2036,1092,944
37019020504,Brunswick,NC,1352,1050,302
37019020505,Brunswick,NC,1708,1539,169
37019020508,Brunswick,NC,2103,1566,537
37019020510,Brunswick,NC,2331,1201,1130
37019020511,Brunswick,NC,1885,1262,623
37019020512,Brunswick,NC,4256,610,3646
37019020513,Brunswick,NC,793,600,193
37019020514,Brunswick,NC,1471,1310,161
37019020515,Brunswick,NC,2271,1808,463
37019020516,Brunswick,NC,2925,2392,533
37019020517,Brunswick,NC,1945,1229,716
37019020518,Brunswick,NC,2740,1678,1062
37019020601,Brunswick,NC,2133,1889,244
37019020602,Brunswick,NC,2406,2210,196
37019020603,Brunswick,NC,1371,1213,158
37019990100,Brunswick,NC,0,0,0
37021000100,Buncombe,NC,1251,893,358
37021000200,Buncombe,NC,959,868,91
37021000300,Buncombe,NC,1078,997,81
37021000400,Buncombe,NC,1593,1439,154
37021000500,Buncombe,NC,2037,1797,240
37021000600,Buncombe,NC,1294,1106,188
37021000700,Buncombe,NC,1002,889,113
37021000800,Buncombe,NC,1752,1577,175
37021000900,Buncombe,NC,1715,1540,175
37021001000,Buncombe,NC,2184,2013,171
37021001100,Buncombe,NC,2429,2273,156
37021001200,Buncombe,NC,2517,2332,185
37021001300,Buncombe,NC,2036,1920,116
37021001401,Buncombe,NC,2162,2047,115
37021001402,Buncombe,NC,1018,959,59
37021001500,Buncombe,NC,1226,1114,112
37021001601,Buncombe,NC,1608,1498,110
37021001602,Buncombe,NC,1837,1605,232
37021001700,Buncombe,NC,1533,1318,215
37021001801,Buncombe,NC,2119,1908,211
37021001802,Buncombe,NC,2316,2168,148
37021001900,Buncombe,NC,2019,1881,138
37021002000,Buncombe,NC,3583,3333,250
37021002101,Buncombe,NC,672,571,101
37021002102,Buncombe,NC,2648,2394,254
37021002203,Buncombe,NC,2951,2717,234
37021002204,Buncombe,NC,5469,4902,567
37021002205,Buncombe,NC,3085,2879,206
37021002206,Buncombe,NC,2718,2409,309
37021002303,Buncombe,NC,3403,3034,369
37021002304,Buncombe,NC,796,645,151
37021002305,Buncombe,NC,2832,2574,258
37021002306,Buncombe,NC,1993,1841,152
37021002401,Buncombe,NC,1689,1484,205
37021002402,Buncombe,NC,2687,2373,314
37021002503,Buncombe,NC,1867,1726,141
37021002504,Buncombe,NC,2206,2031,175
37021002505,Buncombe,NC,2206,2094,112
37021002506,Buncombe,NC,1777,1636,141
37021002603,Buncombe,NC,1717,1518,199
37021002604,Buncombe,NC,2932,2688,244
37021002606,Buncombe,NC,1747,1622,125
37021002607,Buncombe,NC,1988,1834,154
37021002608,Buncombe,NC,2374,2206,168
37021002609,Buncombe,NC,534,509,25
37021002701,Buncombe,NC,1800,1631,169
37021002702,Buncombe,NC,2306,2107,199
37021002704,Buncombe,NC,2360,2150,210
37021002705,Buncombe,NC,701,627,74
37021002803,Buncombe,NC,1845,1729,116
37021002804,Buncombe,NC,2290,2107,183
37021002900,Buncombe,NC,1849,1606,243
37021003002,Buncombe,NC,3350,3026,324
37021003003,Buncombe,NC,2730,2475,255
37021003004,Buncombe,NC,1212,1054,158
37021003103,Buncombe,NC,1014,828,186
37021003105,Buncombe,NC,2192,1743,449
37021003106,Buncombe,NC,1122,760,362
37021003107,Buncombe,NC,2152,1908,244
37021003108,Buncombe,NC,976,856,120
37021003201,Buncombe,NC,892,802,90
37021003202,Buncombe,NC,2030,1878,152
37021003203,Buncombe,NC,2863,2587,276
37021003204,Buncombe,NC,2770,2444,326
37021003205,Buncombe,NC,1128,757,371
37023020100,Burke,NC,1880,1658,222
37023020202,Burke,NC,1885,1761,124
37023020203,Burke,NC,1920,1209,711
37023020204,Burke,NC,1318,1189,129
37023020301,Burke,NC,2102,1890,212
37023020303,Burke,NC,1986,1874,112
37023020304,Burke,NC,1174,1076,98
37023020500,Burke,NC,1358,1237,121
37023020600,Burke,NC,2834,2553,281
37023020801,Burke,NC,2375,2136,239
37023020802,Burke,NC,1439,1320,119
37023020901,Burke,NC,1572,1448,124
37023020902,Burke,NC,1676,1505,171
37023021000,Burke,NC,2437,2059,378
37023021100,Burke,NC,2610,2372,238
37023021201,Burke,NC,1723,1541,182
37023021202,Burke,NC,1743,1564,179
37023021203,Burke,NC,1744,1605,139
37023021301,Burke,NC,1945,1786,159
37023021302,Burke,NC,1644,1412,232
37023021400,Burke,NC,2160,1945,215
37025040501,Cabarrus,NC,3195,3036,159
37025040502,Cabarrus,NC,2153,2055,98
37025040600,Cabarrus,NC,2562,2413,149
37025040701,Cabarrus,NC,810,740,70
37025040703,Cabarrus,NC,1269,1198,71
37025040704,Cabarrus,NC,1469,1382,87
37025040705,Cabarrus,NC,1396,1311,85
37025040800,Cabarrus,NC,1910,1716,194
37025040900,Cabarrus,NC,1079,921,158
37025041001,Cabarrus,NC,1475,1362,113
37025041002,Cabarrus,NC,1275,1146,129
37025041100,Cabarrus,NC,2823,2672,151
37025041201,Cabarrus,NC,1476,1381,95
37025041202,Cabarrus,NC,2730,2542,188
37025041301,Cabarrus,NC,2536,2447,89
37025041304,Cabarrus,NC,2600,2564,36
37025041305,Cabarrus,NC,933,909,24
37025041306,Cabarrus,NC,2563,2446,117
37025041307,Cabarrus,NC,2342,2285,57
37025041503,Cabarrus,NC,2031,1973,58
37025041504,Cabarrus,NC,1469,1436,33
37025041505,Cabarrus,NC,2550,2504,46
37025041506,Cabarrus,NC,1871,1821,50
37025041507,Cabarrus,NC,1514,1444,70
37025041602,Cabarrus,NC,1409,1322,87
37025041603,Cabarrus,NC,1889,1818,71
37025041604,Cabarrus,NC,1667,1571,96
37025041701,Cabarrus,NC,1739,1634,105
