geocode,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
37001020100,Alamance,NC,4040,2383,952,39,42,5,355,264,518,3522,2318,939,18,41,4,32,170
37001020200,Alamance,NC,4137,1386,1234,76,49,6,1024,362,1447,2690,1228,1220,28,45,6,33,130
37001020301,Alamance,NC,4213,1159,1596,90,28,2,1045,293,1345,2868,1078,1583,27,28,2,20,130
37001020302,Alamance,NC,3974,1263,864,66,60,0,1389,332,1991,1983,976,837,6,59,0,12,93
37001020400,Alamance,NC,6556,1385,3343,79,46,12,1203,488,1668,4888,1249,3318,10,46,10,36,219
37001020501,Alamance,NC,3965,2689,623,30,36,6,289,292,516,3449,2595,617,16,36,6,19,160
37001020502,Alamance,NC,4299,1266,1762,61,38,1,840,331,1201,3098,1141,1738,18,38,1,18,144
37001020601,Alamance,NC,3170,2796,108,9,61,0,67,129,173,2997,2751,105,6,61,0,12,62
37001020602,Alamance,NC,2509,1904,276,6,38,1,128,156,229,2280,1860,274,6,38,0,7,95
37001020701,Alamance,NC,5018,3320,884,24,177,12,303,298,509,4509,3247,873,11,176,12,20,170
37001020702,Alamance,NC,5063,2545,1618,37,83,12,429,339,653,4410,2450,1592,19,82,10,17,240
37001020801,Alamance,NC,1930,1101,422,18,39,3,200,147,335,1595,1042,418,4,39,3,2,87
37001020802,Alamance,NC,6175,2121,2044,81,98,0,1297,534,1924,4251,1912,2017,22,98,0,5,197
37001020901,Alamance,NC,3871,2143,792,32,81,4,525,294,833,3038,2000,787,8,81,4,11,147
37001020902,Alamance,NC,3887,2702,448,61,72,0,332,272,566,3321,2647,443,24,71,0,14,122
37001021000,Alamance,NC,4091,1488,1504,59,31,2,628,379,965,3126,1391,1479,23,29,2,18,184
37001021101,Alamance,NC,3984,2074,1129,52,52,4,348,325,589,3395,1986,1122,26,52,0,23,186
37001021102,Alamance,NC,3587,2308,783,31,73,0,160,232,333,3254,2233,774,7,73,0,14,153
37001021201,Alamance,NC,6305,2789,1813,45,32,0,1099,527,1607,4698,2585,1798,13,32,0,34,236
37001021204,Alamance,NC,5217,3297,850,74,102,1,498,395,831,4386,3194,839,33,102,1,12,205
37001021205,Alamance,NC,7963,4441,2229,48,283,10,280,672,643,7320,4342,2188,24,283,8,41,434
37001021206,Alamance,NC,5382,3202,1288,27,85,1,359,420,601,4781,3127,1260,21,84,1,43,245
37001021207,Alamance,NC,3498,2554,462,21,30,0,145,286,305,3193,2523,452,3,27,0,7,181
37001021300,Alamance,NC,6178,3817,1613,59,47,1,299,342,458,5720,3770,1592,41,47,0,38,232
37001021400,Alamance,NC,2668,2337,131,12,10,1,82,95,138,2530,2312,128,9,7,1,7,66
37001021500,Alamance,NC,4576,3996,287,16,6,7,71,193,161,4415,3949,287,15,6,5,28,125
37001021600,Alamance,NC,8913,6880,1028,34,167,0,235,569,598,8315,6748,1004,19,164,0,31,349
37001021701,Alamance,NC,3479,3102,167,10,55,1,41,103,105,3374,3080,167,2,55,0,5,65
37001021702,Alamance,NC,5897,4814,489,11,191,0,94,298,279,5618,4729,482,9,191,0,33,174
37001021703,Alamance,NC,7974,5074,1456,26,495,4,336,583,691,7283,4954,1424,20,484,3,56,342
37001021801,Alamance,NC,4706,4083,251,28,20,4,103,217,211,4495,4054,249,23,19,3,20,127
37001021802,Alamance,NC,3618,3256,97,18,15,1,64,167,202,3416,3169,93,9,14,0,8,123
37001021803,Alamance,NC,3042,2667,123,4,4,0,83,161,145,2897,2642,120,4,4,0,15,112
37001021901,Alamance,NC,4630,3884,282,12,19,0,170,263,299,4331,3823,278,10,18,0,20,182
37001021902,Alamance,NC,4424,3357,291,44,31,0,343,358,611,3813,3270,290,9,31,0,18,195
37001022001,Alamance,NC,3759,2926,336,22,57,3,186,229,333,3426,2864,333,12,57,3,12,145
37001022002,Alamance,NC,4717,3338,439,65,95,1,389,390,690,4027,3248,435,29,93,1,21,200
37003040100,Alexander,NC,3248,2973,43,14,4,4,82,128,151,3097,2945,43,7,4,0,10,88
37003040200,Alexander,NC,3877,3565,105,12,24,0,62,109,95,3782,3547,100,9,24,0,8,94
37003040300,Alexander,NC,3090,2845,80,4,14,0,25,122,75,3015,2818,80,2,14,0,5,96
37003040400,Alexander,NC,6503,5189,641,38,51,0,231,353,427,6076,5096,640,33,50,0,22,235
37003040500,Alexander,NC,6560,5439,298,26,52,0,371,374,630,5930,5329,295,11,51,0,10,234
37003040600,Alexander,NC,6320,5113,654,38,92,0,155,268,244,6076,5066,650,37,92,0,13,218
37003040700,Alexander,NC,6846,6160,111,12,155,1,83,324,214,6632,6092,111,12,155,1,15,246
37005950100,Alleghany,NC,4058,3577,40,23,2,1,176,239,480,3578,3423,40,20,2,1,0,92
37005950200,Alleghany,NC,3762,3087,58,15,13,3,365,221,615,3147,2969,57,9,13,3,2,94
37005950300,Alleghany,NC,3068,2880,6,9,0,2,61,110,193,2875,2794,6,6,0,2,2,65
37007920100,Anson,NC,2783,1264,1326,26,15,0,13,139,40,2743,1252,1323,21,15,0,2,130
37007920200,Anson,NC,1411,869,466,5,15,0,16,40,27,1384,869,462,3,15,0,2,33
37007920301,Anson,NC,4504,3124,967,14,50,1,150,198,210,4294,3100,964,11,50,1,4,164
37007920302,Anson,NC,649,530,36,0,0,0,47,36,68,581,520,33,0,0,0,2,26
37007920400,Anson,NC,2475,610,1747,22,18,0,28,50,48,2427,603,1739,18,18,0,8,41
37007920501,Anson,NC,944,335,562,3,10,1,8,25,17,927,329,562,3,10,1,0,22
37007920502,Anson,NC,4442,1931,2246,15,78,1,51,120,81,4361,1902,2245,14,78,0,13,109
37007920600,Anson,NC,3481,1346,1920,9,29,4,83,90,126,3355,1335,1909,7,29,2,7,66
37007980000,Anson,NC,1366,683,601,12,6,0,47,17,48,1318,683,601,12,6,0,0,16
37009970200,Ashe,NC,2497,2306,8,5,4,0,36,138,82,2415,2289,8,5,4,0,2,107
37009970300,Ashe,NC,2390,2291,3,4,9,0,19,64,38,2352,2275,3,3,9,0,5,57
37009970400,Ashe,NC,4360,3989,19,13,21,0,149,169,319,4041,3898,19,10,20,0,10,84
37009970501,Ashe,NC,3511,3201,36,20,14,3,101,136,224,3287,3146,36,19,14,3,3,66
37009970502,Ashe,NC,3007,2677,19,10,21,1,132,147,281,2726,2590,19,1,21,1,1,93
37009970701,Ashe,NC,3356,3137,11,6,10,4,41,147,120,3236,3099,11,1,10,4,8,103
37009970702,Ashe,NC,2527,2354,8,5,14,3,57,86,140,2387,2305,8,3,14,3,3,51
37009970801,Ashe,NC,2146,2030,8,4,1,0,43,60,69,2077,2016,6,2,1,0,4,48
37009970802,Ashe,NC,2783,2450,15,10,9,1,145,153,246,2537,2410,15,4,9,1,7,91
37011930100,Avery,NC,3057,2750,58,12,22,0,67,148,168,2889,2704,54,7,21,0,21,82
37011930200,Avery,NC,3431,3143,14,15,14,0,79,166,203,3228,3085,10,9,14,0,6,104
37011930301,Avery,NC,3351,3020,23,15,12,1,146,134,229,3122,2977,19,13,9,1,8,95
37011930302,Avery,NC,3030,2840,12,14,3,0,65,96,115,2915,2821,12,9,2,0,0,71
37011930400,Avery,NC,4937,3993,557,33,12,0,190,152,272,4665,3962,554,20,10,0,9,110
37013930101,Beaufort,NC,2889,2094,537,13,0,0,161,84,228,2661,2067,533,11,0,0,2,48
37013930102,Beaufort,NC,1756,871,698,7,8,0,118,54,149,1607,862,697,2,8,0,1,37
37013930200,Beaufort,NC,5898,4123,1140,21,32,3,303,276,452,5446,4076,1130,9,32,3,10,186
37013930300,Beaufort,NC,3892,1596,1938,22,23,0,139,174,238,3654,1567,1912,12,23,0,17,123
37013930400,Beaufort,NC,5128,2459,2061,18,33,1,314,242,483,4645,2412,2030,8,33,1,20,141
37013930501,Beaufort,NC,4440,2935,731,33,6,2,555,178,710,3730,2877,716,14,6,2,20,95
37013930502,Beaufort,NC,3422,2556,404,3,16,3,334,106,417,3005,2521,400,2,14,3,7,58
