county_id_2010,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
45001,Abbeville,SC,25417,17691,7187,60,75,5,108,291,255,25162,17564,7160,59,75,5,23,276
45003,Aiken,SC,160099,111457,39354,682,1329,61,4126,3090,7824,152275,108566,39043,589,1318,52,199,2508
45005,Allendale,SC,10419,2465,7672,20,41,2,134,85,239,10180,2410,7645,19,41,2,5,58
45007,Anderson,SC,187126,149818,30020,478,1405,43,2500,2862,5447,181679,147362,29810,420,1384,29,183,2491
45009,Bamberg,SC,15987,5770,9837,42,68,3,112,155,258,15729,5691,9786,38,68,3,6,137
45011,Barnwell,SC,22621,11899,10015,85,126,5,160,331,411,22210,11715,9964,84,126,2,19,300
45013,Beaufort,SC,162233,116606,31290,481,1889,119,8515,3333,19567,142666,107279,30662,338,1822,78,217,2270
45015,Berkeley,SC,177843,118232,44514,1067,4046,184,4990,4810,10755,167088,113553,44023,910,3981,146,536,3939
45017,Calhoun,SC,15175,8177,6459,52,32,9,267,179,458,14717,8059,6420,43,31,9,8,147
45019,Charleston,SC,350209,224910,104239,1068,4719,299,9477,5497,18877,331332,217260,103479,838,4660,246,471,4378
45021,Cherokee,SC,55342,41525,11278,199,313,17,1223,787,2032,53310,40939,11214,129,308,6,49,665
45023,Chester,SC,33140,19814,12387,136,109,5,187,502,479,32661,19590,12349,130,104,5,40,443
45025,Chesterfield,SC,46734,29352,15253,237,172,12,945,763,1666,45068,28790,15179,223,171,9,50,646
45027,Clarendon,SC,34971,16445,17504,86,225,4,418,289,899,34072,16160,17379,71,222,4,7,229
45029,Colleton,SC,38892,22173,15178,322,126,7,499,587,1094,37798,21736,15109,308,125,7,24,489
45031,Darlington,SC,68681,38366,28573,194,203,8,603,734,1140,67541,37993,28463,184,201,6,38,656
45033,Dillon,SC,32062,15399,14782,790,78,8,481,524,833,31229,15152,14730,751,76,8,34,478
45035,Dorchester,SC,136555,92621,35266,904,2052,146,1978,3588,6075,130480,89427,34861,853,2016,127,176,3020
45037,Edgefield,SC,26985,15825,10030,67,95,11,604,353,1414,25571,15196,9951,62,94,11,20,237
45039,Fairfield,SC,23956,9236,14167,50,55,2,182,264,374,23582,9098,14112,47,54,0,30,241
45041,Florence,SC,136885,75116,56506,464,1671,23,1548,1557,3030,133855,74105,56204,424,1660,23,121,1318
45043,Georgetown,SC,60158,38005,20214,136,271,14,969,549,1867,58291,37311,20128,128,269,6,31,418
45045,Greenville,SC,451225,333084,81497,1401,8849,257,17667,8470,36495,414730,317197,80569,915,8772,217,717,6343
45047,Greenwood,SC,69661,43783,21846,196,572,25,2420,819,3789,65872,42709,21728,139,568,11,86,631
45049,Hampton,SC,21090,8999,11359,66,113,8,274,271,744,20346,8699,11264,45,106,7,14,211
45051,Horry,SC,269291,215071,36202,1279,2816,305,8366,5252,16683,252608,208096,35753,1075,2774,232,395,4283
45053,Jasper,SC,24777,10658,11406,122,176,13,2050,352,3752,21025,9263,11303,49,169,5,21,215
45055,Kershaw,SC,61697,43965,15188,197,302,29,1040,976,2298,59399,43009,15057,182,296,26,55,774
45057,Lancaster,SC,76652,54844,18278,235,494,17,1815,969,3384,73268,53490,18162,214,492,15,120,775
45059,Laurens,SC,66537,46848,16933,153,183,34,1532,854,2729,63808,45900,16808,137,175,25,50,713
45061,Lee,SC,19220,6419,12359,51,59,3,162,167,334,18886,6322,12315,49,58,3,6,133
45063,Lexington,SC,262391,208023,37522,1134,3729,130,6984,4869,14529,247862,201946,36995,957,3693,105,330,3836
45065,McCormick,SC,10233,4985,5083,10,34,6,23,92,81,10152,4941,5069,9,34,3,12,84
45067,Marion,SC,33062,13434,18476,144,176,2,417,413,791,32271,13230,18365,133,176,2,16,349
45069,Marlboro,SC,28933,11987,14729,1308,75,4,306,524,800,28133,11657,14652,1265,74,3,23,459
45071,Newberry,SC,37508,23301,11626,130,122,35,1858,436,2690,34818,22690,11533,99,116,10,36,334
45073,Oconee,SC,74273,65177,5613,176,436,10,1686,1175,3349,70924,63807,5550,152,421,8,41,945
45075,Orangeburg,SC,92501,31770,57535,491,752,14,843,1096,1767,90734,31206,57286,468,751,12,57,954
45077,Pickens,SC,119224,105747,7854,230,1913,14,1690,1776,3743,115481,103958,7792,210,1900,14,118,1489
45079,Richland,SC,384504,181974,176538,1230,8548,425,7358,8431,18637,365867,174267,174549,987,8433,372,562,6697
45081,Saluda,SC,19875,12141,5230,83,38,63,2042,278,2857,17018,11548,5196,43,36,11,10,174
45083,Spartanburg,SC,284307,205680,58565,764,5746,86,8714,4752,16658,267649,199184,58115,562,5680,69,321,3718
45085,Sumter,SC,107456,51825,50414,389,1188,99,1511,2030,3532,103924,50423,50110,334,1167,93,130,1667
45087,Union,SC,28961,19286,9066,67,79,11,92,360,282,28679,19146,9022,63,79,11,23,335
45089,Williamsburg,SC,34423,10939,22637,114,138,3,330,262,689,33734,10725,22526,102,137,3,29,212
45091,York,SC,226073,169158,43003,1934,3413,126,4258,4181,10075,215998,164371,42608,1777,3394,72,255,3521
