place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
4500100,Abbeville,SC,5237,2458,2645,10,23,0,22,79,48,5189,2443,2633,10,23,0,7,73
4500550,Aiken,SC,29524,19729,8401,107,567,21,259,440,768,28756,19324,8340,98,564,21,33,376
4500775,Alcolu,SC,429,194,223,0,3,0,5,4,14,415,190,220,0,3,0,0,2
4500955,Allendale,SC,3482,445,2903,8,25,2,49,50,99,3383,427,2890,8,25,2,1,30
4501360,Anderson,SC,26686,16382,8959,72,260,5,456,552,1089,25597,15881,8894,63,253,4,28,474
4501450,Andrews,SC,2861,903,1856,13,24,0,43,22,102,2759,858,1846,13,23,0,4,15
4501810,Antreville,SC,140,122,17,0,0,0,0,1,0,140,122,17,0,0,0,0,1
4502080,Arcadia,SC,2634,1497,425,27,86,4,505,90,910,1724,1177,408,8,86,0,7,38
4502125,Arcadia Lakes,SC,861,779,42,0,30,0,3,7,16,845,769,41,0,28,0,2,5
4502440,Arial,SC,2543,2355,88,10,5,0,44,41,130,2413,2279,86,6,5,0,4,33
4503205,Atlantic Beach,SC,334,98,182,3,0,0,36,15,55,279,86,181,3,0,0,0,9
4503385,Awendaw,SC,1294,529,747,0,4,0,1,13,12,1282,522,747,0,3,0,0,10
4503430,Aynor,SC,560,457,88,5,2,0,0,8,4,556,455,88,5,2,0,0,6
4503790,Bamberg,SC,3607,1490,1996,16,38,0,20,47,58,3549,1462,1988,14,38,0,1,46
4504060,Barnwell,SC,4750,2116,2448,11,72,3,20,80,47,4703,2099,2441,11,72,0,4,76
4504300,Batesburg-Leesville,SC,5362,2656,2500,8,37,1,95,65,193,5169,2571,2487,8,37,1,4,61
4504690,Beaufort,SC,12361,8300,3176,36,177,17,328,327,830,11531,7944,3115,29,171,10,20,242
4505365,Belton,SC,4134,3338,685,7,12,0,16,76,77,4057,3282,685,7,12,0,2,69
4505410,Belvedere,SC,5792,3869,1519,18,24,3,210,149,345,5447,3775,1511,17,24,2,1,117
4505680,Bennettsville,SC,9069,2966,5822,76,36,2,55,112,148,8921,2908,5798,74,36,2,3,100
4505770,Berea,SC,14295,8662,2586,73,177,1,2414,382,3630,10665,7694,2553,36,172,1,17,192
4506040,Bethune,SC,334,291,38,4,0,0,0,1,7,327,284,38,4,0,0,0,1
4506310,Bishopville,SC,3471,908,2474,10,28,1,17,33,40,3431,902,2462,10,28,1,0,28
4506400,Blacksburg,SC,1848,1376,396,8,9,1,12,46,18,1830,1369,396,8,9,1,2,45
4506490,Blackville,SC,2406,462,1876,5,3,0,26,34,83,2323,423,1864,5,3,0,1,27
4506850,Blenheim,SC,154,87,58,3,0,0,0,6,0,154,87,58,3,0,0,0,6
4507210,Bluffton,SC,12530,8950,2025,34,245,6,911,359,2355,10175,7667,1969,19,238,4,22,256
4507255,Blythewood,SC,2034,1419,549,9,20,2,5,30,57,1977,1383,540,8,20,1,2,23
4507345,Boiling Springs,SC,8219,6728,851,25,307,2,180,126,350,7869,6593,838,14,303,2,19,100
4507525,Bonneau,SC,487,407,60,1,7,0,5,7,8,479,404,60,1,7,0,0,7
4507535,Bonneau Beach,SC,1929,1706,165,23,0,0,11,24,21,1908,1697,165,22,0,0,1,23
4507840,Bowman,SC,968,279,675,0,1,0,10,3,17,951,270,675,0,1,0,2,3
4508110,Boykin,SC,100,80,6,0,0,0,10,4,16,84,74,6,0,0,0,0,4
4508155,Bradley,SC,170,113,57,0,0,0,0,0,3,167,110,57,0,0,0,0,0
4508245,Branchville,SC,1024,526,468,11,2,0,7,10,16,1008,517,468,11,2,0,1,9
4508830,Briarcliffe Acres,SC,457,438,5,0,3,4,0,7,5,452,433,5,0,3,4,0,7
4509527,Brookdale,SC,4873,39,4779,5,11,0,0,39,34,4839,35,4752,5,11,0,0,36
4509865,Brunson,SC,554,313,233,1,0,0,3,4,5,549,312,232,1,0,0,0,4
4510000,Bucksport,SC,876,70,790,0,0,0,7,9,17,859,66,784,0,0,0,0,9
4510090,Buffalo,SC,1266,1071,178,1,3,1,2,10,8,1258,1064,178,1,3,1,1,10
4510270,Burnettown,SC,2673,2094,380,17,20,0,107,55,171,2502,2047,374,17,20,0,1,43
4510360,Burton,SC,6976,3353,3004,30,91,16,294,188,694,6282,3044,2969,18,89,12,15,135
4510720,Calhoun Falls,SC,2004,881,1065,10,0,0,10,38,25,1979,867,1062,10,0,0,2,38
4510855,Camden,SC,6838,4250,2403,11,48,0,52,74,166,6672,4168,2379,11,48,0,3,63
4510900,Cameron,SC,424,268,143,0,1,0,5,7,5,419,268,143,0,1,0,0,7
4511125,Campobello,SC,502,435,47,0,11,0,5,4,8,494,435,44,0,11,0,0,4
4511350,Cane Savannah,SC,1117,679,399,4,2,2,2,29,14,1103,672,394,4,2,2,0,29
4511755,Carlisle,SC,436,39,383,0,1,0,0,13,0,436,39,383,0,1,0,0,13
4512430,Catawba,SC,1343,1054,229,19,4,0,17,20,45,1298,1029,229,15,4,0,3,18
4512655,Cayce,SC,12528,8522,3150,52,236,9,293,266,539,11989,8355,3103,47,234,9,10,231
4512965,Centerville,SC,6586,5484,875,12,71,0,59,85,180,6406,5383,872,3,71,0,7,70
4513015,Central,SC,5159,3913,789,9,171,1,176,100,262,4897,3842,784,8,171,1,13,78
4513060,Central Pacolet,SC,216,201,9,0,4,0,1,1,1,215,201,9,0,4,0,0,1
4513150,Chapin,SC,1445,1201,169,4,19,0,27,25,75,1370,1157,165,4,19,0,1,24
4513330,Charleston,SC,120083,84258,30491,271,1971,122,1205,1765,3451,116632,82427,30288,235,1950,111,142,1479
4513600,Cheraw,SC,5851,2355,3275,44,36,0,34,107,63,5788,2344,3260,38,36,0,13,97
4514018,Cherryvale,SC,2496,897,1409,15,33,2,47,93,104,2392,872,1401,13,33,2,0,71
4514050,Chesnee,SC,868,573,235,5,2,0,22,31,38,830,565,235,5,2,0,0,23
4514095,Chester,SC,5607,1786,3672,15,11,3,25,95,69,5538,1769,3657,14,11,3,8,76
4514140,Chesterfield,SC,1472,875,561,3,9,0,14,10,23,1449,867,561,2,9,0,0,10
4514455,City View,SC,1345,645,377,8,1,6,269,39,449,896,503,371,3,1,4,3,11
4514590,Clarks Hill,SC,381,70,299,0,0,0,0,12,0,381,70,299,0,0,0,0,12
4514860,Clearwater,SC,4370,3042,711,28,7,2,495,85,594,3776,2967,700,20,7,2,5,75
4514950,Clemson,SC,13905,10994,1437,17,1127,1,110,219,308,13597,10822,1430,13,1126,1,18,187
4515220,Clifton,SC,541,496,29,0,5,0,1,10,5,536,494,29,0,5,0,0,8
4515295,Clinton,SC,8490,5047,3140,19,48,2,106,128,187,8303,4998,3121,15,47,2,7,113
4515310,Clio,SC,726,195,467,57,0,0,0,7,8,718,191,466,55,0,0,0,6
4515355,Clover,SC,5094,3897,980,23,31,0,68,95,223,4871,3758,974,23,30,0,1,85
4515625,Cokesbury,SC,215,52,161,0,0,0,0,2,0,215,52,161,0,0,0,0,2
4516000,Columbia,SC,129272,66777,54537,434,2879,164,1922,2559,5622,123650,64062,53948,363,2846,150,162,2119
4516360,Converse,SC,608,559,36,2,2,0,3,6,13,595,549,36,2,2,0,0,6
4516405,Conway,SC,17103,10187,6331,38,117,7,172,251,500,16603,9981,6251,27,113,6,10,215
4516720,Cope,SC,77,44,31,0,0,0,0,2,0,77,44,31,0,0,0,0,2
4516855,Cordova,SC,169,143,21,3,0,0,0,2,3,166,140,21,3,0,0,0,2
4516945,Coronaca,SC,191,146,37,0,0,0,3,5,7,184,146,37,0,0,0,0,1
4516990,Cottageville,SC,762,680,56,11,4,0,0,11,16,746,666,55,11,4,0,0,10
4517215,Coward,SC,752,606,106,5,0,0,23,12,33,719,598,106,5,0,0,1,9
4517260,Cowpens,SC,2162,1597,459,6,2,0,55,43,92,2070,1574,459,6,2,0,0,29
4517845,Cross Anchor,SC,126,90,30,1,1,0,0,4,5,121,85,30,1,1,0,0,4
4517890,Cross Hill,SC,507,195,301,0,1,0,4,6,10,497,191,299,0,1,0,0,6
4518430,Dalzell,SC,3059,1683,1203,16,39,6,28,84,87,2972,1645,1191,15,37,5,6,73
4518565,Darlington,SC,6289,2386,3814,13,28,0,7,41,44,6245,2368,3801,13,27,0,3,33
4519105,Denmark,SC,3538,305,3189,5,10,2,11,16,31,3507,303,3172,3,10,2,3,14
4519285,Dentsville,SC,14062,3182,9742,39,387,19,348,345,752,13310,2977,9603,28,386,17,27,272
4519420,Dillon,SC,6788,2905,3604,109,44,1,44,81,84,6704,2880,3586,100,44,1,18,75
4519870,Donalds,SC,348,286,48,0,2,0,6,6,5,343,286,48,0,2,0,1,6
4521040,Due West,SC,1247,1018,194,1,8,0,7,19,17,1230,1007,193,1,8,0,2,19
4521265,Duncan,SC,3181,1936,969,7,31,0,136,102,293,2888,1812,948,2,31,0,5,90
4521310,Dunean,SC,3671,2060,1285,12,12,0,209,93,373,3298,1925,1275,11,11,0,2,74
4521985,Easley,SC,19993,16621,2277,32,154,4,550,355,1115,18878,16114,2260,28,153,4,24,295
4522075,East Gaffney,SC,3085,2104,791,12,9,3,111,55,169,2916,2070,784,2,9,1,1,49
4522390,Eastover,SC,813,41,759,3,0,0,0,10,9,804,40,751,3,0,0,0,10
4522547,East Sumter,SC,1343,582,687,5,8,0,55,6,81,1262,571,682,4,2,0,1,2
4522795,Edgefield,SC,4750,1850,2571,16,21,4,174,114,564,4186,1568,2521,13,20,4,4,56
4522997,Edisto,SC,2559,598,1893,4,4,0,43,17,68,2491,579,1887,3,4,0,2,16
4523020,Edisto Beach,SC,414,409,4,0,0,0,1,0,2,412,408,4,0,0,0,0,0
4523200,Ehrhardt,SC,545,255,269,2,4,0,10,5,11,534,255,269,2,4,0,0,4
4523245,Elgin,SC,1311,1095,146,6,3,0,32,29,77,1234,1065,139,2,3,0,3,22
4523290,Elgin,SC,2607,1829,522,2,1,0,229,24,271,2336,1788,519,2,1,0,2,24
4523335,Elko,SC,193,78,114,0,0,0,0,1,1,192,78,113,0,0,0,0,1
4523470,Elloree,SC,692,383,284,2,7,0,5,11,6,686,383,280,2,7,0,4,10
4523605,Enoree,SC,665,525,92,1,8,0,22,17,37,628,517,92,1,8,0,0,10
4523830,Estill,SC,2040,361,1594,12,3,0,51,19,98,1942,326,1586,12,1,0,3,14
4524020,Eureka Mill,SC,1476,625,826,2,6,1,6,10,10,1466,620,822,2,6,1,5,10
4524100,Eutawville,SC,315,193,114,0,0,0,6,2,11,304,189,113,0,0,0,0,2
4524370,Fairfax,SC,2025,401,1592,2,12,0,14,4,31,1994,386,1592,2,12,0,0,2
4524505,Fairforest,SC,1693,1050,292,5,99,0,204,43,599,1094,707,286,4,81,0,0,16
4524730,Fair Play,SC,687,653,3,3,6,0,9,13,15,672,648,3,3,5,0,0,13
4525360,Fingerville,SC,134,125,5,2,0,0,0,2,1,133,125,5,1,0,0,0,2
4525540,Five Forks,SC,14140,12366,771,32,616,1,141,213,597,13543,11927,763,28,614,1,19,191
4525810,Florence,SC,37056,18535,17038,106,680,11,216,470,553,36503,18295,16972,91,677,11,38,419
4526035,Folly Beach,SC,2617,2520,39,8,12,3,14,21,45,2572,2489,39,8,12,3,1,20
4526305,Forest Acres,SC,10361,7875,2010,22,155,6,101,192,313,10048,7732,1983,14,151,6,11,151
4526372,Forestbrook,SC,4612,3960,351,14,62,3,105,117,266,4346,3829,339,11,61,3,11,92
4526845,Fort Lawn,SC,895,521,344,6,4,0,1,19,9,886,513,344,6,4,0,0,19
4526890,Fort Mill,SC,10811,8393,1901,40,136,1,117,223,313,10498,8236,1881,39,136,0,14,192
4527070,Fountain Inn,SC,7799,4965,2432,22,23,13,190,154,469,7330,4721,2416,21,23,13,5,131
4527835,Furman,SC,239,62,175,0,0,0,0,2,3,236,60,174,0,0,0,0,2
4527970,Gadsden,SC,1632,70,1540,3,1,0,3,15,20,1612,65,1529,3,1,0,3,11
4528060,Gaffney,SC,12414,6214,5673,31,108,11,180,197,381,12033,6073,5639,30,108,3,9,171
4528375,Gantt,SC,14229,4137,8418,61,36,5,1322,250,1877,12352,3756,8359,24,32,4,11,166
4528455,Garden City,SC,9209,8776,153,25,28,13,81,133,269,8940,8599,144,25,28,6,12,126
4528780,Gaston,SC,1645,1387,151,6,7,1,41,52,90,1555,1349,147,6,7,1,2,43
4528825,Gayle Mill,SC,913,384,505,5,5,0,3,11,9,904,378,505,5,5,0,3,8
4528870,Georgetown,SC,9163,3461,5192,20,60,5,307,118,490,8673,3325,5161,19,60,0,12,96
4529005,Gifford,SC,288,12,271,0,0,0,1,4,0,288,12,271,0,0,0,1,4
4529050,Gilbert,SC,565,504,19,2,0,0,39,1,50,515,495,17,2,0,0,0,1
4529275,Glendale,SC,307,290,9,0,2,0,4,2,11,296,283,9,0,2,0,0,2
4529410,Gloverville,SC,2831,2290,382,21,6,0,46,86,89,2742,2265,377,19,6,0,2,73
4529635,Golden Grove,SC,2467,1813,533,4,10,1,49,57,94,2373,1776,531,4,10,1,2,49
4529815,Goose Creek,SC,35938,25605,6560,184,1340,47,925,1277,2203,33735,24501,6460,156,1322,40,190,1066
4529950,Govan,SC,65,39,23,1,0,0,0,2,2,63,39,23,1,0,0,0,0
4530220,Gramling,SC,86,73,4,1,0,0,7,1,15,71,65,4,1,0,0,0,1
4530265,Graniteville,SC,2614,1706,748,17,1,2,74,66,155,2459,1646,747,4,1,2,1,58
4530355,Gray Court,SC,795,358,332,2,0,1,88,14,122,673,328,332,2,0,1,0,10
4530490,Great Falls,SC,1979,1315,620,0,0,0,4,40,15,1964,1308,619,0,0,0,2,35
4530535,Greeleyville,SC,438,124,302,0,0,0,2,10,12,426,121,295,0,0,0,1,9
4530850,Greenville,SC,58409,37356,17519,148,793,54,1486,1053,3443,54966,35776,17377,91,782,46,87,807
4530895,Greenwood,SC,23222,10367,10389,89,235,15,1802,325,2550,20672,9795,10334,48,232,4,43,216
4530985,Greer,SC,25515,18071,4405,67,570,14,1847,541,3687,21828,16428,4339,41,565,11,60,384
4531885,Hampton,SC,2808,1415,1280,14,55,1,19,24,48,2760,1396,1275,5,52,1,8,23
4532065,Hanahan,SC,17997,13445,2494,110,620,15,797,516,1638,16359,12748,2443,71,613,12,72,400
4532245,Hardeeville,SC,2952,1291,1024,23,58,0,475,81,839,2113,976,1019,12,56,0,6,44
4532335,Harleyville,SC,677,442,218,3,4,0,2,8,9,668,437,217,3,4,0,1,6
4532560,Hartsville,SC,7764,3960,3598,17,64,4,41,80,113,7651,3904,3586,16,63,4,8,70
4532965,Heath Springs,SC,790,356,418,1,2,1,6,6,1,789,355,418,1,2,1,6,6
4533145,Hemingway,SC,459,265,159,0,8,0,17,10,33,426,257,151,0,8,0,0,10
4533640,Hickory Grove,SC,440,308,114,4,1,0,0,13,4,436,306,114,4,1,0,0,11
