geocode,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
45001950100,Abbeville,SC,3301.5378180150374,2797.614684865286,435.639289966607,13.141510118227316,4.44421164618925,0,12,38.69812141872779,34.29327235555314,3267.244545659484,2783.3316646288313,433.4780985568724,12,4.44421164618925,0,2,31.99057082759121
45001950200,Abbeville,SC,4192.708401896841,3361.7084018968408,742,3,25,0,12,49,45,4147.708401896841,3329.7084018968408,739,3,25,0,2,49
45001950300,Abbeville,SC,3182.122990713149,2851.198853880306,267.6712777101793,11,6,5,9.061564341489337,32.1912947811742,20.04000875509921,3162.08298195805,2836.6896272959516,265.6712777101793,11,6,5,6.5307821707446685,31.1912947811742
45001950401,Abbeville,SC,3436.004507051146,2303.003182069214,1061.0013249819322,7,15,0,7,43,29,3407.004507051146,2287.003182069214,1053.0013249819322,7,15,0,3,42
45001950402,Abbeville,SC,2635.191251419581,1899.6979374445318,668.5587610425597,5,6,0,32.934552932489595,23,56.934552932489595,2578.2566984870914,1877.6979374445318,668.5587610425597,5,6,0,1,20
45001950500,Abbeville,SC,5700.994726695523,2961.9960516774554,2628.998675018068,11,17,0,22,60,43,5657.994726695523,2947.9960516774554,2620.998675018068,11,17,0,5,56
45001950600,Abbeville,SC,3064,1579,1412,10,2,0,13,48,31,3033,1561,1408,10,2,0,4,48
45003020100,Aiken,SC,4828.701010534828,3389.202747237296,1196.9239642560644,8,6,5,136.57429904146804,87,309.57429904146807,4519.126711493361,3255.202747237296,1193.9239642560644,8,6,3,2,51
45003020200,Aiken,SC,5816.168535436139,4456.175689800455,1066.9960253531576,39,25,3,124.99920507063152,100.99761521189455,288.9996025353158,5527.168932900823,4332.176087265139,1058.9960253531576,31,24,3,4.999205070631517,72.99761521189455
45003020301,Aiken,SC,2361.0125023502596,1822.3110767659382,348.7973783114597,14.999728350171857,2,0,118.43223232584452,54.472086596845244,186.04128043696858,2174.971221913291,1762.6894901717467,348.7973783114597,14.999728350171857,2,0,5,41.484625079912696
45003020303,Aiken,SC,2006,479,1456,10,4,0,20,37,56,1950,458,1446,10,4,0,0,32
45003020304,Aiken,SC,3474,2046,1249,15,51,0,59,54,122,3352,1991,1234,12,51,0,13,51
45003020401,Aiken,SC,3509,2456,658,11,10,0,323,51,410,3099,2384,654,11,10,0,7,33
45003020402,Aiken,SC,2138,1271,713,17,1,2,74,60,153,1985,1212,713,4,1,2,1,52
45003020500,Aiken,SC,7184.342725339005,5872.621004682154,1059.7066122607048,8,100.01187913742422,1.0032292587209153,63,80,160.1164549304295,7024.226270408575,5786.504549751725,1046.7066122607048,8,99.01187913742422,1.0032292587209153,17,66
45003020601,Aiken,SC,3723.960045231813,2807.152964377216,790.852296279301,20.984928191765405,25.984928191765405,0,21.99698563835308,56.987942553412324,72.97889946847157,3650.9811457633414,2765.174064908744,786.852296279301,20.984928191765405,24.984928191765405,0,2.996985638353081,49.987942553412324
45003020603,Aiken,SC,3228.860573823158,2242.902509557541,835.9629567679616,5,19.999301071093615,2,37.99860214218723,84.99720428437446,101.99161285312337,3126.8689609700345,2185.9087999176986,830.9636556968679,4,19.999301071093615,2,7,76.99720428437446
45003020604,Aiken,SC,3011.881514740277,1633.4380573160317,1076.660011000364,12.017959954952484,12.000681937617607,1,200.1088305473802,76.65597398393126,279.13371182624144,2732.7478029140357,1579.413874966077,1073.6593120714574,12.017959954952484,12.000681937617607,0,1,54.65597398393126
45003020701,Aiken,SC,5556.257911436564,4453.659433126427,904.3770322316745,14.982040045047516,50.00001699128878,0,34.89256731043258,98.34682173169428,82.8746753206352,5473.383236115929,4423.677325116225,898.3770322316745,12.982040045047516,50.00001699128878,0,4,84.34682173169428
