geocode,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
45001950100,Abbeville,SC,3094,2505,412,8,4,1,37,127,69,3025,2483,406,8,4,0,13,111
45001950200,Abbeville,SC,4190,3309,663,6,14,2,59,137,107,4083,3279,655,6,14,2,16,111
45001950300,Abbeville,SC,3189,2795,217,8,10,5,5,149,37,3152,2784,215,8,10,5,5,125
45001950401,Abbeville,SC,3248,2205,899,2,9,1,17,115,51,3197,2188,899,2,9,0,7,92
45001950402,Abbeville,SC,2628,1967,527,1,13,1,27,92,60,2568,1946,526,1,13,0,7,75
45001950500,Abbeville,SC,5298,2862,2224,7,15,1,24,165,50,5248,2846,2221,7,14,0,8,152
45001950600,Abbeville,SC,2648,1234,1263,12,8,0,29,102,49,2599,1218,1262,12,7,0,14,86
45003020100,Aiken,SC,4877,3203,1012,9,4,8,405,236,539,4338,3140,999,8,4,4,15,168
45003020200,Aiken,SC,5910,4357,964,30,20,9,191,339,427,5483,4239,959,27,19,5,9,225
45003020301,Aiken,SC,2468,1756,357,17,10,0,152,176,255,2213,1726,352,9,10,0,3,113
45003020303,Aiken,SC,1778,403,1133,9,2,1,85,145,154,1624,379,1118,6,2,1,12,106
45003020304,Aiken,SC,4757,2727,1512,35,57,5,110,311,256,4501,2692,1504,27,55,4,28,191
45003020401,Aiken,SC,7216,4146,2101,30,96,9,328,506,645,6571,4041,2072,19,96,9,22,312
45003020402,Aiken,SC,1968,1060,614,10,14,1,162,107,222,1746,1030,611,8,14,1,7,75
45003020500,Aiken,SC,9244,6959,1311,17,145,7,169,636,558,8686,6840,1302,12,145,0,45,342
45003020601,Aiken,SC,3935,2854,693,23,35,1,64,265,173,3762,2813,690,13,34,1,12,199
45003020603,Aiken,SC,3070,1922,794,13,7,2,95,237,263,2807,1867,779,6,7,2,7,139
45003020604,Aiken,SC,2717,1328,917,7,17,0,207,241,349,2368,1275,905,6,17,0,21,144
45003020701,Aiken,SC,5767,4139,1099,12,64,7,112,334,251,5516,4076,1086,7,64,7,33,243
45003020702,Aiken,SC,4792,1955,1933,20,32,0,452,400,790,4002,1813,1922,13,32,0,18,204
45003020801,Aiken,SC,3158,2699,235,12,44,8,21,139,91,3067,2675,233,7,44,8,5,95
45003020802,Aiken,SC,5712,3950,936,32,159,9,239,387,473,5239,3868,931,22,156,8,30,224
45003020901,Aiken,SC,2206,1382,596,23,11,3,54,137,129,2077,1348,594,20,11,3,1,100
45003020903,Aiken,SC,3673,2710,579,15,17,0,103,249,252,3421,2675,564,11,17,0,8,146
45003020904,Aiken,SC,3137,1599,1172,18,25,2,112,209,192,2945,1556,1149,17,25,2,29,167
45003021001,Aiken,SC,4747,3029,987,47,30,1,328,325,517,4230,2985,962,30,30,0,25,198
45003021003,Aiken,SC,3131,2154,388,22,9,4,240,314,461,2670,2104,379,16,8,1,5,157
45003021004,Aiken,SC,1904,663,912,9,5,1,167,147,295,1609,618,905,9,5,1,2,69
45003021101,Aiken,SC,2609,1938,397,19,10,2,92,151,177,2432,1896,394,16,10,2,3,111
45003021102,Aiken,SC,3580,2631,502,25,7,5,145,265,272,3308,2565,502,20,7,1,11,202
45003021201,Aiken,SC,6002,4735,749,8,106,2,57,345,218,5784,4698,738,3,105,1,14,225
45003021202,Aiken,SC,3582,2811,511,4,37,0,31,188,116,3466,2779,502,3,37,0,16,129
45003021204,Aiken,SC,3075,1906,763,13,150,4,56,183,152,2923,1873,762,9,150,4,9,116
45003021205,Aiken,SC,6839,5830,425,15,184,0,56,329,225,6614,5777,422,13,182,0,23,197
45003021300,Aiken,SC,4908,3607,936,8,76,4,87,190,166,4742,3562,927,7,76,4,10,156
45003021401,Aiken,SC,2149,685,1310,6,0,0,49,99,100,2049,662,1298,6,0,0,10,73
45003021402,Aiken,SC,3292,480,2568,2,18,7,65,152,81,3211,475,2547,2,18,3,43,123
45003021500,Aiken,SC,5121,3450,1146,17,59,3,124,322,271,4850,3389,1143,13,55,0,27,223
45003021601,Aiken,SC,5530,2531,2474,19,20,2,176,308,290,5240,2497,2458,17,20,2,24,222
45003021603,Aiken,SC,2943,1887,700,3,101,7,67,178,136,2807,1853,695,3,99,7,21,129
45003021604,Aiken,SC,5486,4030,821,22,111,1,94,407,284,5202,3979,807,17,111,1,20,267
45003021700,Aiken,SC,4410,2908,1222,27,13,6,41,193,105,4305,2870,1214,27,12,6,9,167
45003021800,Aiken,SC,2433,1434,850,21,7,1,27,93,41,2392,1423,848,20,7,1,12,81
45003021901,Aiken,SC,2852,1962,348,14,7,0,279,242,479,2373,1868,345,11,7,0,16,126
45003021902,Aiken,SC,2946,1874,638,20,11,0,173,230,345,2601,1808,637,14,11,0,6,125
45003022001,Aiken,SC,4746,3334,852,12,17,4,219,308,407,4339,3275,842,8,17,4,19,174
45003022003,Aiken,SC,4592,3290,957,16,35,1,80,213,194,4398,3245,944,12,34,0,18,145
45003022004,Aiken,SC,2495,1581,739,3,6,0,36,130,93,2402,1563,724,2,6,0,10,97
45003022100,Aiken,SC,3051,2117,703,15,14,5,25,172,82,2969,2101,700,14,14,3,11,126
45003980100,Aiken,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45005970201,Allendale,SC,2378,237,2070,5,0,0,25,41,46,2332,221,2067,5,0,0,5,34
45005970202,Allendale,SC,1620,472,1067,5,4,0,35,37,38,1582,468,1066,4,4,0,7,33
45005970500,Allendale,SC,4041,1301,2519,38,13,1,79,90,110,3931,1296,2513,36,13,1,1,71
45007000200,Anderson,SC,4739,3982,411,14,38,0,111,183,177,4562,3940,410,14,38,0,12,148
45007000300,Anderson,SC,5415,3526,1064,6,107,0,133,579,590,4825,3459,1056,6,107,0,8,189
45007000500,Anderson,SC,2831,890,1735,11,14,0,44,137,86,2745,860,1729,11,14,0,24,107
45007000600,Anderson,SC,3255,788,2166,8,9,0,87,197,135,3120,764,2156,8,9,0,25,158
45007000701,Anderson,SC,2600,889,1412,5,5,0,106,183,217,2383,839,1403,4,5,0,6,126
45007000702,Anderson,SC,1687,633,801,7,3,4,91,148,181,1506,605,798,7,3,1,5,87
45007000800,Anderson,SC,2586,1326,888,3,11,1,168,189,260,2326,1304,881,2,8,0,18,113
45007000900,Anderson,SC,2883,1745,851,3,24,4,73,183,173,2710,1715,835,0,24,4,13,119
45007001000,Anderson,SC,2683,1827,493,6,122,1,84,150,167,2516,1786,486,3,122,1,8,110
45007001100,Anderson,SC,5625,4325,683,9,161,1,124,322,276,5349,4282,676,5,161,1,27,197
45007010103,Anderson,SC,9518,7820,608,35,190,5,308,552,658,8860,7668,594,12,190,5,46,345
45007010105,Anderson,SC,2774,1739,461,5,359,1,75,134,109,2665,1714,460,4,356,1,45,85
45007010106,Anderson,SC,4944,4381,223,10,30,0,52,248,170,4774,4327,221,9,30,0,16,171
45007010107,Anderson,SC,4092,3515,232,27,60,0,45,213,146,3946,3468,228,22,60,0,15,153
45007010108,Anderson,SC,5548,4773,303,17,23,0,135,297,241,5307,4711,302,17,23,0,30,224
45007010200,Anderson,SC,5828,4938,370,23,58,0,126,313,235,5593,4878,369,14,58,0,21,253
45007010300,Anderson,SC,4240,3637,179,25,11,2,157,229,264,3976,3578,179,13,11,0,9,186
45007010403,Anderson,SC,3304,2776,190,29,4,3,113,189,197,3107,2749,184,17,4,1,3,149
45007010404,Anderson,SC,2732,2015,424,22,5,0,125,141,235,2497,1973,422,13,5,0,3,81
45007010405,Anderson,SC,3728,3047,149,23,5,0,320,184,466,3262,2970,145,13,5,0,8,121
45007010406,Anderson,SC,3211,2792,199,11,1,0,76,132,119,3092,2764,198,8,1,0,5,116
45007010501,Anderson,SC,4013,3419,260,14,90,0,45,185,135,3878,3389,258,12,90,0,4,125
45007010502,Anderson,SC,3733,3084,239,10,15,3,162,220,264,3469,3026,235,6,15,3,9,175
45007010601,Anderson,SC,3862,3282,287,21,18,1,44,209,92,3770,3254,287,20,18,1,15,175
45007010602,Anderson,SC,4014,3473,216,4,49,1,70,201,133,3881,3443,214,4,49,1,9,161
45007010701,Anderson,SC,1952,1328,412,0,59,0,29,124,60,1892,1318,408,0,59,0,7,100
