state,fips,postal_code,population_2020,apportioned_reps,rep_change
Alabama,1,AL,5030053,7,0
Alaska,2,AK,736081,1,0
Arizona,4,AZ,7158923,9,0
Arkansas,5,AR,3013756,4,0
California,6,CA,39576757,52,-1
Colorado,8,CO,5782171,8,1
Connecticut,9,CT,3608298,5,0
Delaware,10,DE,990837,1,0
Florida,12,FL,21570527,28,1
Georgia,13,GA,10725274,14,0
Hawaii,15,HI,1460137,2,0
Idaho,16,ID,1841377,2,0
Illinois,17,IL,12822739,17,-1
Indiana,18,IN,6790280,9,0
Iowa,19,IA,3192406,4,0
Kansas,20,KS,2940865,4,0
Kentucky,21,KY,4509342,6,0
Louisiana,22,LA,4661468,6,0
Maine,23,ME,1363582,2,0
Maryland,24,MD,6185278,8,0
Massachusetts,25,MA,7033469,9,0
Michigan,26,MI,10084442,13,-1
Minnesota,27,MN,5709752,8,0
Mississippi,28,MS,2963914,4,0
Missouri,29,MO,6160281,8,0
Montana,30,MT,1085407,2,1
Nebraska,31,NE,1963333,3,0
Nevada,32,NV,3108462,4,0
New Hampshire,33,NH,1379089,2,0
New Jersey,34,NJ,9294493,12,0
New Mexico,35,NM,2120220,3,0
New York,36,NY,20215751,26,-1
North Carolina,37,NC,10453948,14,1
North Dakota,38,ND,779702,1,0
Ohio,39,OH,11808848,15,-1
Oklahoma,40,OK,3963516,5,0
Oregon,41,OR,4241500,6,1
Pennsylvania,42,PA,13011844,17,-1
Rhode Island,44,RI,1098163,2,0
South Carolina,45,SC,5124712,7,0
South Dakota,46,SD,887770,1,0
Tennessee,47,TN,6916897,9,0
Texas,48,TX,29183290,38,2
Utah,49,UT,3275252,4,0
Vermont,50,VT,643503,1,0
Virginia,51,VA,8654542,11,0
Washington,53,WA,7715946,10,0
West Virginia,54,WV,1795045,2,-1
Wisconsin,55,WI,5897473,8,0
Wyoming,56,WY,577719,1,0
